date,location,meal,category,name
2022-03-21,chase,Lite Lunch (2pm-5pm),Specialty Bakery,Red Velvet Cupcake
2022-03-21,chase,Breakfast  (7am-11am),Bakery,Granola Bar
2022-03-21,chase,Lite Lunch (2pm-5pm),Specialty Bakery,Chocolate Peanut Butter Cake
2022-03-21,chase,Dinner (5pm-8pm),Specialty Bakery,Banana Split Cupcakes
2022-03-21,chase,Lunch (11am-2pm),Specialty Bakery,Red Velvet Cupcake
2022-03-21,chase,Dinner (5pm-8pm),Specialty Bakery,Vegan Red Velvet Crinkle Cookie
2022-03-21,chase,Lite Lunch (2pm-5pm),Specialty Bakery,Pound Cake with Strawberry Topping
2022-03-21,chase,Lunch (11am-2pm),Specialty Bakery,Chocolate Peanut Butter Cake
2022-03-21,chase,Dinner (5pm-8pm),Specialty Bakery,Flourless Monster Cookie Bar
2022-03-21,chase,Lunch (11am-2pm),Specialty Bakery,Pound Cake with Strawberry Topping
