date,location,meal,category,name
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Classic Cheese Pizza
2022-03-06,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,Katz Cinnamon Donut Hole
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Vegan Fried Rice
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Seasoned Ground Turkey
2022-03-06,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,Katz Oatmeal Creme Pie
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Turmeric Tofu Scramble
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,JP's Blueberry Muffin
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Cajun Breakfast Stir- Fry
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,Katz Powdered Donut Holes
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Sour Cream
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Homemade Soups,Hungarian Mushroom Soup
2022-03-06,top-of-lenoir,Continental  (10am-11am),Specialty Bakery,Cinnamon Rolls
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Scrambled Eggs
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Grits
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,Katz Glazed Donut Holes
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Popcorn Shrimp
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Penne Pasta
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Bakery,Cinnamon Rolls
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Oven Roasted Green Beans
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Grill,Assorted Veggie Toppings
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,Katz Oatmeal Creme Pie
2022-03-06,top-of-lenoir,Continental  (10am-11am),Bakery,Assorted Danishes
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,Katz Powdered Donut Holes
2022-03-06,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Blueberry Buttermilk Pancakes
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Grill,Garden Burger Patty
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Boston Cream Cupcake
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Confetti Rice
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Roasted Top Round Beef
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Cheddar Cheese
2022-03-06,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,O'Doughs Original Bagel
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Blueberry Chickpea Pancakes
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Grill,Hamburger Bun
2022-03-06,top-of-lenoir,Continental  (10am-11am),Bakery,Assorted Donuts
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Specialty Bakery,Vegan Cinnamon Raisin Muffin
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Waffle Fries
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,JP's Snickerdoodle Cookie
2022-03-06,top-of-lenoir,Continental  (10am-11am),Specialty Bakery,Assorted Danishes
2022-03-06,top-of-lenoir,Continental  (10am-11am),Bakery,Chocolate Chip Scones
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,O'Doughs Multigrain Sandwich Slices
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Fried Tater Tots
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Classic Pepperoni Pizza
2022-03-06,top-of-lenoir,Continental  (10am-11am),Stress Less Cabinet,Katz Powdered Donut Holes
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,O'Doughs Original Sandwich Slices
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,Katz Oatmeal Creme Pie
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Seasoned Black Beans
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,White Tortilla
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Assorted Cookies
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Goat Cheese and Spinach Pizza
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Specialty Bakery,Assorted Donuts
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Bolognese Sauce
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Specialty Bakery,Croissant
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Pork Sausage Link
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Creamy Queso Dip
2022-03-06,top-of-lenoir,Continental  (10am-11am),Bakery,Cinnamon Rolls
2022-03-06,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Oatmeal
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Specialty Bakery,Chocolate Chip Scones
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Toppings Station
2022-03-06,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Cage-Free Egg
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Monterey Jack Cheese
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,JP's Blueberry Muffin
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,O'Doughs Pumpernickel Bagel
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Steamed Corn
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Brown Rice
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Hungarian Mushroom Soup
2022-03-06,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Pancake Syrup
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Snickerdoodle Blondie
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Cookies
2022-03-06,top-of-lenoir,Brunch (11am-3pm),The Grill,Udi's Gluten-Free Hamburger Bun
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,Katz Glazed Donut Holes
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,O'Doughs Original Bagel
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Specialty Bakery,Cinnamon Rolls
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Stress Less Cabinet,O'doughs Everything Bagel
2022-03-06,top-of-lenoir,Brunch (11am-3pm),Homemade Soups,Turkey Chili
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Italian Sausage
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Grilled Zucchini
2022-03-06,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Whole Grain Penne
2022-03-06,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Brownies
2022-03-06,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Pork Sausage Gravy
