date,location,meal,category,name
2022-03-30,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,Kinnikinnick Cinnabun Fun Sandwich Creme Cookies
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Green Coconut Curry
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Assorted Cookies
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Classic Cheese Pizza
2022-03-30,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,Kinnikinnick Birthday Cream Sandwich Cookie
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Spicy Butternut Squash
2022-03-30,top-of-lenoir,Breakfast (7am-11am),Specialty Bakery,Bacon & Cheese Biscuits
2022-03-30,top-of-lenoir,Lunch (11am-3pm),The Grill,Assorted Veggie Toppings
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Stress Less Cabinet,Katz Powdered Donut Holes
2022-03-30,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,Kinnikinnick Mint Magic Sandwich Creme Cookies
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Roasted Potato Rissole
2022-03-30,top-of-lenoir,Breakfast (7am-11am),Bakery,Chocolate Croissant
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Chocolate Bundt Cake with Chocolate Ganache
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,Kinnikinnick Cinnamon Sugar Donuts
2022-03-30,top-of-lenoir,Lunch (11am-3pm),International Flavors,Rigatoni & Meatballs
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Risotto Cakes
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Rice Pasta
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,Katz Glazed Donut Holes
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Specialty Bakery,Chocolate Chip Cookie
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Stress Less Cabinet,Kinnikinnick Chocolate Sandwich Creme Cookies
2022-03-30,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Brownies
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Classic Cheese Pizza
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Assorted Veggie Toppings
2022-03-30,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Bacon
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Sour Cream
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Chipotle Ketchup
2022-03-30,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,O'Doughs Multigrain Sandwich Slices
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Jalapeno Cabbage Slaw
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Bolognese Sauce
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Pico Salsa
2022-03-30,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Pancake Syrup
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),International Flavors,Rigatoni & Meatballs
2022-03-30,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,O'Doughs Original Bagel
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Chocolate Chip Cookie
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2022-03-30,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,O'Doughs Original Sandwich Slices
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Alfredo Sauce
2022-03-30,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,Katz Cinnamon Donut Hole
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Sour Cream
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Jalapeno Cabbage Slaw
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Bolognese Sauce
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,O'Doughs Pumpernickel Bagel
2022-03-30,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Turkey Gravy
2022-03-30,top-of-lenoir,Lunch (11am-3pm),Stress Less Cabinet,Kinnikinnick Cinnamon Sugar Donuts
2022-03-30,top-of-lenoir,Breakfast (7am-11am),Stress Less Cabinet,O'doughs Everything Bagel
2022-03-30,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Pork Sausage Link
