date,location,meal,category,name
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Eggplant Balls with Mushroom Gravy
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Assorted Veggie Toppings
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Pepper and Red Onion Pizza
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,Kinnikinnick Cinnamon Sugar Donuts
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Spanish Rice
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Rice Krispie Treats
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Hamburger Bun
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Hungarian Goulash Soup
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,Kinnikinnick Mint Magic Sandwich Creme Cookies
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Soft Pretzels
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,JP's Snickerdoodle Cookie
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,Kinnikinnick Birthday Cream Sandwich Cookie
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Marinara Sauce
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Bolognese Sauce
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,Katz Oatmeal Creme Pie
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,O'Doughs Original Sandwich Slices
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,O'Doughs Pumpernickel Bagel
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Garden Burger Patty
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Rice Pasta
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,JP's Brownie
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Alfredo Sauce
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,BBQ Pork Ribs
2022-03-20,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Fudge Brownie
