date,location,meal,category,name
2021-09-20,chase,Lunch (11am-2pm),Plant Forward,Carolina Heirloom Tomatoes
2021-09-20,chase,Lunch (11am-2pm),Simply Prepared Grill,Roasted Fresh Asparagus
2021-09-20,chase,Dinner (5pm-8pm),Simply Prepared Grill,Roasted Sweet Potato
2021-09-20,chase,Lunch (11am-2pm),Fresh,Roasted Veggie Hummus Panini
2021-09-20,chase,Breakfast (7am-11am),The Kitchen Table,Grits
2021-09-20,chase,Lunch (11am-2pm),Specialty Bakery,Coconut Cake
2021-09-20,chase,Dinner (5pm-8pm),Nacho Bar,Pico de Gallo
2021-09-20,chase,Lunch (11am-2pm),The Griddle,Vegan Cheddar Cheese
2021-09-20,chase,Dinner (5pm-8pm),Create,Spicy Cucumber Roll
2021-09-20,chase,Late Night  (9pm-12am),The Kitchen Table,Fried Tater Tots
2021-09-20,chase,Late Night  (9pm-12am),The Griddle,Black Bean Burger
2021-09-20,chase,Dinner (5pm-8pm),Bakery,Ice Cream Cone
2021-09-20,chase,Lunch (11am-2pm),Plant Forward,Sliced Red Onion
2021-09-20,chase,Dinner (5pm-8pm),Chef's Corner,Alfredo Sauce
2021-09-20,chase,Lunch (11am-2pm),Plant Forward,Kettle Chips
2021-09-20,chase,Lunch (11am-2pm),International Flavors,Curry Chicken with Rice and Vegetables
2021-09-20,chase,Lunch (11am-2pm),Soup and Salads,Curried Cauliflower Soup
2021-09-20,chase,Late Night  (9pm-12am),The Griddle,Sauteed Yellow Onions
2021-09-20,chase,Dinner (5pm-8pm),Nacho Bar,Black Olives
2021-09-20,chase,Breakfast (7am-11am),The Kitchen Table,Oatmeal
2021-09-20,chase,Breakfast (7am-11am),Create,100% Orange Juice
2021-09-20,chase,Lunch (11am-2pm),International Flavors,Mushrooms
2021-09-20,chase,Lunch (11am-2pm),Pizza,"Beet, Pesto, Kale and Goat Cheese Pizza"
2021-09-20,chase,Dinner (5pm-8pm),Simply Prepared Grill,Steamed Green Peas
2021-09-20,chase,Lunch (11am-2pm),Pasta,Alfredo Sauce
2021-09-20,chase,Lite Lunch (2pm-5pm),Soup and Salads,Curried Cauliflower Soup
2021-09-20,chase,Late Night  (9pm-12am),The Kitchen Table,Biscuits
2021-09-20,chase,Dinner (5pm-8pm),Soup and Salads,Chicken & Wild Rice Soup
2021-09-20,chase,Dinner (5pm-8pm),The Kitchen Table,Yellow Rice
2021-09-20,chase,Dinner (5pm-8pm),Nacho Bar,Guacamole
2021-09-20,chase,Late Night  (9pm-12am),The Kitchen Table,Bacon
2021-09-20,chase,Lunch (11am-2pm),Soup and Salads,Tomato Cucumber Salad
2021-09-20,chase,Dinner (5pm-8pm),Specialty Bakery,Raspberry White Chocolate Chip Blondie
2021-09-20,chase,Dinner (5pm-8pm),The Griddle,American Cheese
2021-09-20,chase,Dinner (5pm-8pm),Chef's Corner,Bacon Bits
2021-09-20,chase,Breakfast (7am-11am),Specialty Bakery,Assorted Yogurts
2021-09-20,chase,Lunch (11am-2pm),Bakery,Assorted Cookies
2021-09-20,chase,Lunch (11am-2pm),Simply Prepared Grill,Steamed Baby Carrots
2021-09-20,chase,Dinner (5pm-8pm),Chef's Corner,Diced Ham
2021-09-20,chase,Breakfast (7am-11am),The Kitchen Table,Whole Wheat French Toast
2021-09-20,chase,Dinner (5pm-8pm),Nacho Bar,Hot Tortilla Chips
2021-09-20,chase,Lunch (11am-2pm),Soup and Salads,Chicken & Wild Rice Soup
2021-09-20,chase,Dinner (5pm-8pm),The Griddle,Sauteed Seasoned Mushrooms
2021-09-20,chase,Dinner (5pm-8pm),Chef's Corner,No-Nut Pesto Sauce
2021-09-20,chase,Lunch (11am-2pm),The Griddle,Hamburger Bun
2021-09-20,chase,Breakfast (7am-11am),Create,Frozen Strawberries
2021-09-20,chase,Dinner (5pm-8pm),Nacho Bar,Queso Sauce
2021-09-20,chase,Dinner (5pm-8pm),Create,Steamed Edamame
2021-09-20,chase,Late Night  (9pm-12am),The Griddle,Shoestring Fries
2021-09-20,chase,Breakfast (7am-11am),Bakery,Lemon Poppyseed Muffin
2021-09-20,chase,Lite Lunch (2pm-5pm),Bakery,Ice Cream Cone
2021-09-20,chase,Lite Lunch (2pm-5pm),Soup and Salads,Chicken & Wild Rice Soup
2021-09-20,chase,Dinner (5pm-8pm),Fresh,Racha Turkey Panini
2021-09-20,chase,Late Night  (9pm-12am),The Griddle,Garden Burger
2021-09-20,chase,Breakfast (7am-11am),Create,Vanilla Greek Yogurt
2021-09-20,chase,Late Dinner (8pm-9pm),Bakery,Ice Cream Cone
2021-09-20,chase,Late Night  (9pm-12am),Bakery,Assorted Brownies
2021-09-20,chase,Lunch (11am-2pm),Simply Prepared Grill,Baked Potato Wedges
2021-09-20,chase,Late Dinner (8pm-9pm),The Kitchen Table,Yellow Rice
2021-09-20,chase,Dinner (5pm-8pm),Soup and Salads,Black Bean Jicama & Mango
2021-09-20,chase,Lunch (11am-2pm),Plant Forward,Vegan Aioli
2021-09-20,chase,Late Night  (9pm-12am),The Kitchen Table,Scrambled Eggs
2021-09-20,chase,Late Night  (9pm-12am),The Griddle,Udi's Hamburger Bun
2021-09-20,chase,Lunch (11am-2pm),Specialty Bakery,Raspberry White Chocolate Chip Blondie
2021-09-20,chase,Lunch (11am-2pm),International Flavors,Baby Carrots
2021-09-20,chase,Lunch (11am-2pm),Pizza,Classic Cheese Pizza
2021-09-20,chase,Breakfast (7am-11am),Specialty Bakery,Peanut Butter Overnight Oats
2021-09-20,chase,Lunch (11am-2pm),Simply Prepared Grill,Grilled Herbed Chicken Breast
2021-09-20,chase,Lunch (11am-2pm),Pasta,Penne Pasta
2021-09-20,chase,Lunch (11am-2pm),The Griddle,Black Bean Burger
2021-09-20,chase,Lunch (11am-2pm),The Kitchen Table,Fried Tater Tots
2021-09-20,chase,Dinner (5pm-8pm),Bakery,Rice Krispie Treats
2021-09-20,chase,Late Night  (9pm-12am),Pizza,Classic Cheese Pizza
2021-09-20,chase,Dinner (5pm-8pm),The Griddle,Local Grass-fed Burger Patties
2021-09-20,chase,Dinner (5pm-8pm),Chef's Corner,Mixed Bell Peppers
2021-09-20,chase,Late Dinner (8pm-9pm),Pizza,Classic Pepperoni Pizza
2021-09-20,chase,Late Night  (9pm-12am),The Kitchen Table,Pork Sausage Gravy
2021-09-20,chase,Late Night  (9pm-12am),The Kitchen Table,Pancake Syrup
2021-09-20,chase,Late Night  (9pm-12am),The Kitchen Table,Veggie Sausage
2021-09-20,chase,Breakfast (7am-11am),Create,Frozen Pineapple Cubes
