date,location,meal,category,name
2021-12-10,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Pancake Syrup
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Rotisserie,Linguine Pasta
2021-12-10,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Oatmeal
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Homemade Soups,Cheesy Caulilflower Soup
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Lettuce
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Bakery,Assorted Cookies
2021-12-10,top-of-lenoir,Lunch (11am-4pm),The Kitchen Table,BBQ Baked Beans
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Rotisserie,Steamed Bok Choy
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Specialty Bakery,Salted Caramel Blondie
2021-12-10,top-of-lenoir,Lunch (11am-4pm),International Flavors,Sundried Tomato Farfalle
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Plant Forward,Seasoned Cauliflower
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Guacamole Spread
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Cilantro Lime Rice
2021-12-10,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Whole Wheat French Toast
2021-12-10,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Tofu-Potato Hash
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Rotisserie,Steamed Peas
2021-12-10,top-of-lenoir,Breakfast (7am-11am),Bakery,Cranberry Orange Muffin
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Peppers and Onions Sautee
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Bakery,Assorted Rice Krispies Treats
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Southwest Chicken
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Chipotle Shrimp
2021-12-10,top-of-lenoir,Lunch (11am-4pm),The Grill,Udi's Gluten-Free Hamburger Bun
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Pasta Bar,Italian Sausage
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Pico Salsa
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Wood Fired Pizza,Cheese Bread
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Zesty Salsa Verde
2021-12-10,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Scrambled Eggs
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Hot Tortilla Chips
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Monterey Jack Cheese
2021-12-10,top-of-lenoir,Lunch (11am-4pm),The Kitchen Table,Country Chicken Gravy
2021-12-10,top-of-lenoir,Breakfast (7am-11am),The Griddle,Plain Cage-Free Omelet
2021-12-10,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Pork Sausage Gravy
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Pasta Bar,Bolognese Sauce
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Jalapeno Peppers
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Seasoned Black Beans
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2021-12-10,top-of-lenoir,Breakfast (7am-11am),The Griddle,Bacon and Cheese Cage-Free Omelet
2021-12-10,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Fried Tater Tots
2021-12-10,top-of-lenoir,Lunch (11am-4pm),The Grill,Ragin' Cajun Fries
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Specialty Bakery,Chocolate Mint Fudge
2021-12-10,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Bacon
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Specialty Bakery,Vegan Oatmeal Cranberry Cookie
2021-12-10,top-of-lenoir,Breakfast (7am-11am),The Griddle,Spinach and Cheese Omelet
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Salsa
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Burritos & Bowls,Cheddar Cheese
2021-12-10,top-of-lenoir,Lunch (11am-4pm),The Grill,Garden Burger Patty
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Plant Forward,Tikka Masala Tofu
2021-12-10,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Grits
2021-12-10,top-of-lenoir,Lunch (11am-4pm),The Kitchen Table,Creamy Mashed Potatoes
2021-12-10,top-of-lenoir,Lunch (11am-4pm),Specialty Bakery,Cupcakes with Fudge Icing
