date,location,meal,category,name
2021-12-01,top-of-lenoir,Lunch (11am-3pm),The Grill,BBQ Bacon Crispy Chicken Sandwich
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,White Tortilla
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Seasoned Black Beans
2021-12-01,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Cookies
2021-12-01,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Scrambled Eggs
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Waffle Fries
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Hamburger Bun
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Yellow Rice
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Bolognese Sauce
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Chocolate Chip Cookie
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Specialty Bakery,Chocolate Chip Cookie
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Whole Grain Penne
2021-12-01,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Pork Sausage Link
2021-12-01,top-of-lenoir,Lite Lunch (3pm-5pm),Wood Fired Pizza,Classic Pepperoni Pizza
2021-12-01,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Fried Tater Tots
2021-12-01,top-of-lenoir,Lunch (11am-3pm),The Grill,Waffle Fries
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Assorted Brownies
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Bakery,Assorted Brownies
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),International Flavors,Rigatoni & Meatballs
2021-12-01,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Bolognese Sauce
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Risotto Cakes
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Steamed Carrots
2021-12-01,top-of-lenoir,Lunch (11am-3pm),The Kitchen Table,Beef Broth Ramen
2021-12-01,top-of-lenoir,Lunch (11am-3pm),The Grill,Hamburger Bun
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Baked Mole Chicken
2021-12-01,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Brownies
2021-12-01,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Italian Meatballs
2021-12-01,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Ice Cream Cone
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Guacamole Spread
2021-12-01,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Alfredo Sauce
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Spicy Butternut Squash
2021-12-01,top-of-lenoir,Lunch (11am-3pm),International Flavors,Rigatoni & Meatballs
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Green Coconut Curry
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Monterey Jack Cheese
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Cavatappi Pasta
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Brown Rice
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,White Rice
2021-12-01,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Assorted Veggie Toppings
2021-12-01,top-of-lenoir,Lunch (11am-3pm),The Grill,American Cheese
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Roasted Corn Chowder
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Homemade Soups,Roasted Corn Chowder
2021-12-01,top-of-lenoir,Breakfast (7am-11am),Bakery,Chocolate Croissant
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Lettuce
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Seasoned Rotisserie Chicken
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Herbed Grilled Pork Chop
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Classic Cheese Pizza
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Oven Roasted Baby Carrots
2021-12-01,top-of-lenoir,Breakfast (7am-11am),Bakery,Blueberry Muffin
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Jalapeno Peppers
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Seasoned Taco Beef
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Assorted Ice Cream
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Bakery,Assorted Ice Cream
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,White Tortilla
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Seasoned Black Beans
2021-12-01,top-of-lenoir,Breakfast (7am-11am),Bakery,Apricot Quick Bread
2021-12-01,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Biscuits
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Local Grass-fed Burger Patties
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Cornbread Stuffing
2021-12-01,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,French Toast
2021-12-01,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Grits
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Ranch Yukon Mashed Potatoes
2021-12-01,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Ice Cream
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Zesty Salsa Verde
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Sauteed Spinach
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Homemade Soups,Double Chicken Noodle Soup
2021-12-01,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Double Chicken Noodle Soup
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Jalapeno Peppers
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Seasoned Taco Beef
2021-12-01,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Marinara Sauce
2021-12-01,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Whole Grain Penne
2021-12-01,top-of-lenoir,Breakfast (7am-11am),Bakery,Vegan Chocolate Walnut Muffin
