date,location,meal,category,name
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Assorted Veggie Toppings
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Classic Pepperoni Pizza
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Shredded Carrots
2021-10-07,top-of-lenoir,Lunch (11am-3pm),The Grill,Chicago Style Grilled Hot Dog
2021-10-07,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Marinara Sauce
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Cabbage
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Carrot Ginger Soup
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Homemade Soups,Carrot Ginger Soup
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Fudge Brownie
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Alfredo Sauce
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Black Bean Veggie Taco
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Specialty Bakery,Cornflake Cookies
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Pickled Ginger
2021-10-07,top-of-lenoir,Breakfast (7am-11am),Bakery,Butternut Squash Bread with Walnuts
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Peach Cobbler
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Specialty Bakery,Peach Cobbler
2021-10-07,top-of-lenoir,Lite Lunch (3pm-5pm),Wood Fired Pizza,Classic Pepperoni Pizza
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Brown Rice
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Flourless Monster Peanut Bar
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Udi's Hamburger Bun
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Whole Grain Penne
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Specialty Bakery,Flourless Monster Peanut Bar
2021-10-07,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Grits
2021-10-07,top-of-lenoir,Breakfast (7am-11am),Bakery,Assorted Donuts
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Steamed Whole Green Beans
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Poke Tuna
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Classic Pepperoni Pizza
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Shredded Carrots
2021-10-07,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Bolognese Sauce
2021-10-07,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Italian Meatballs
2021-10-07,top-of-lenoir,Breakfast (7am-11am),Bakery,Cinnamon Rolls
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Cabbage
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Assorted Ice Cream
2021-10-07,top-of-lenoir,Lunch (11am-3pm),The Grill,Assorted Veggie Toppings
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Pumpkin Parfait
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Bakery,Assorted Ice Cream
2021-10-07,top-of-lenoir,Lunch (11am-3pm),The Kitchen Table,Buttermilk Pancakes
2021-10-07,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Brownies
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Red Curry Chicken over Rice
2021-10-07,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Buttermilk Pancakes
2021-10-07,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Pancake Syrup
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Bakery,Fudge Brownie
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Alfredo Sauce
2021-10-07,top-of-lenoir,Breakfast (7am-11am),The Griddle,Spinach and Cheese Omelet
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Pickled Radish
2021-10-07,top-of-lenoir,Breakfast (7am-11am),Bakery,Biscuits
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Potato Chickpea Curry
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Stewed Tomatoes and Okra
2021-10-07,top-of-lenoir,Breakfast (7am-11am),Bakery,Assorted Danishes
2021-10-07,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Ice Cream
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Ham and Pineapple Pizza
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Roasted Eggplant
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Poke Tuna
2021-10-07,top-of-lenoir,Lunch (11am-3pm),The Grill,Udi's Hamburger Bun
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Cheese Bread
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Whole Grain Penne
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Black Bean Burger
2021-10-07,top-of-lenoir,Lunch (11am-3pm),The Grill,Black Bean Burger
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Linguine Pasta
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Linguine Pasta
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Sauteed Rosemary Mushrooms
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Assorted Cookies
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Sliced Avocado
2021-10-07,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Alfredo Sauce
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Bakery,Assorted Cookies
2021-10-07,top-of-lenoir,Breakfast (7am-11am),The Griddle,Plain Cage-Free Omelet
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Specialty Bakery,Pumpkin Parfait
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Salisbury Steak with Gravy
2021-10-07,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Pickled Ginger
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Bruschetta Garlic Pizza
2021-10-07,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Grilled Cheese Sandwich
