date,location,meal,category,name
2021-05-06,chase,Lunch (11am-3pm),Vegan Plant Forward,Steamed Broccoli
2021-05-06,chase,Lunch (11am-3pm),Fresh,Roasted Pepper Mozzarella Panini
2021-05-06,chase,Lunch (11am-3pm),Bakery,Assorted Cookies
2021-05-06,chase,Dinner (5pm-8:30pm),Fresh,Pesto Turkey Panini
2021-05-06,chase,Dinner (5pm-8:30pm),Specialty Bakery,Coconut Milk Peach Tartlets
2021-05-06,chase,Dinner (5pm-8:30pm),Create,Spicy Tuna Roll
2021-05-06,chase,Lunch (11am-3pm),The Griddle,Hamburger Patty
2021-05-06,chase,Lunch (11am-3pm),Vegan Plant Forward,Moroccan Vegetable Stew
2021-05-06,chase,Dinner (5pm-8:30pm),The Kitchen Table,Country Fried Steak
2021-05-06,chase,Breakfast (7am-11am),Create,Frozen Pineapple Cubes
2021-05-06,chase,Dinner (5pm-8:30pm),The Kitchen Table,Chocolate Chip Pancakes
2021-05-06,chase,Dinner (5pm-8:30pm),Nacho Bar,Chicken Satay with Basil Chutney
2021-05-06,chase,Lunch (11am-3pm),The Griddle,Crispy Chicken Breast
2021-05-06,chase,Lunch (11am-3pm),Fresh,Pesto Turkey Panini
2021-05-06,chase,Dinner (5pm-8:30pm),Pizza,Bacon and Egg Pizza
2021-05-06,chase,Dinner (5pm-8:30pm),Fresh,Sante Fe Chicken Panini
2021-05-06,chase,Lunch (11am-3pm),The Kitchen Table,Steamed Corn
2021-05-06,chase,Dinner (5pm-8:30pm),Bakery,Ice Cream Cone
2021-05-06,chase,Dinner (5pm-8:30pm),The Kitchen Table,White Pepper Gravy
2021-05-06,chase,Late Night (To-Go Only) (8:30pm-9:30pm),The Griddle,Sliced Tomatoes
2021-05-06,chase,Late Night (To-Go Only) (8:30pm-9:30pm),The Griddle,Sliced Dill Pickles
2021-05-06,chase,Breakfast (7am-11am),The Kitchen Table,Veggie Sausage
2021-05-06,chase,Dinner (5pm-8:30pm),Pasta,Alfredo Sauce
2021-05-06,chase,Late Night (To-Go Only) (8:30pm-9:30pm),Bakery,Assorted Brownies
2021-05-06,chase,Late Night (To-Go Only) (8:30pm-9:30pm),The Kitchen Table,Country Fried Steak
2021-05-06,chase,Breakfast (7am-11am),The Kitchen Table,Buttermilk Pancakes
2021-05-06,chase,Breakfast (7am-11am),Create,Baby Spinach
2021-05-06,chase,Lunch (11am-3pm),Pizza,Vegan Cheese Pizza
2021-05-06,chase,Lunch (11am-3pm),Fresh,Sante Fe Chicken Panini
2021-05-06,chase,Lunch (11am-3pm),Pasta,Alfredo Sauce
2021-05-06,chase,Dinner (5pm-8:30pm),Pasta,Penne
2021-05-06,chase,Late Night (To-Go Only) (8:30pm-9:30pm),The Kitchen Table,Pancake Syrup
2021-05-06,chase,Breakfast (7am-11am),The Kitchen Table,Grits
2021-05-06,chase,Lunch (11am-3pm),The Griddle,Garden Burger Patty
2021-05-06,chase,Late Night (To-Go Only) (8:30pm-9:30pm),The Kitchen Table,Veggie Sausage
2021-05-06,chase,Lunch (11am-3pm),Pizza,Cheese Bread
