date,location,meal,category,name
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Cage-Free Egg
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Bakery,Assorted Donuts
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Bacon
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Oatmeal
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Breakfast Potatoes
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Grill,Garden Burger
2021-09-25,top-of-lenoir,Continental  (10am-11am),Bakery,Biscuits
2021-09-25,top-of-lenoir,Brunch (11am-3pm),International Flavors,Mac and Cheese
2021-09-25,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,French Toast
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Grill,Udi's Hamburger Bun
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Grits
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Bakery,Breakfast Nut Bread
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Grill,Grilled Cheese Sandwich
2021-09-25,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Pork Sausage Link
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Veggie Sausage
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Vegan Mango Pancakes
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Bakery,Lemon Loaf
2021-09-25,top-of-lenoir,Continental  (10am-11am),Bakery,Assorted Donuts
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Wood Fired Pizza,Ham & Pineapple Pizza
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Pork Sausage Gravy
2021-09-25,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Scrambled Eggs
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Rotisserie,Pork Chop with Mango Chutney
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Bakery,Blueberry Muffin
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Grill,Assorted Veggie Toppings
2021-09-25,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Cage-Free Egg
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Pancake Syrup
2021-09-25,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Bacon
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Homemade Soups,Manhattan Clam Chowder
2021-09-25,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Oatmeal
2021-09-25,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Breakfast Potatoes
2021-09-25,top-of-lenoir,Continental  (10am-11am),Bakery,Breakfast Nut Bread
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Rosemary Potatoes
2021-09-25,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Grits
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Bakery,Raspberry Muffin
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Bakery,Cinnamon Rolls
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Wood Fired Pizza,Classic Pepperoni Pizza
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Rotisserie,Seasoned Black-Eyed Peas
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Bistro Tofu
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Farro White Bean Cakes
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Homemade Soups,Creamy Tomato Soup
2021-09-25,top-of-lenoir,Continental  (10am-11am),Bakery,Lemon Loaf
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Bakery,Assorted Danishes
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Pancake Syrup
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Grill,Ragin' Cajun Fries
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,French Toast
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Wood Fired Pizza,Primavera Pizza
2021-09-25,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Veggie Sausage
2021-09-25,top-of-lenoir,Continental  (10am-11am),Bakery,Blueberry Muffin
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Bakery,Biscuits
2021-09-25,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Pork Sausage Gravy
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Pork Sausage Link
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Rotisserie,Spicy Kale
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Rotisserie,White Rice Pilaf
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Scrambled Eggs
2021-09-25,top-of-lenoir,Brunch (11am-3pm),The Grill,Grass-Fed Hamburger
2021-09-25,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Pancake Syrup
2021-09-25,top-of-lenoir,Continental  (10am-11am),Bakery,Raspberry Muffin
2021-09-25,top-of-lenoir,Continental  (10am-11am),Bakery,Cinnamon Rolls
2021-09-25,top-of-lenoir,Continental  (10am-11am),Bakery,Assorted Danishes
2021-09-25,top-of-lenoir,Brunch (11am-3pm),Wood Fired Pizza,Classic Cheese Pizza
