date,location,meal,category,name
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Edamame
2021-09-06,top-of-lenoir,Lunch (11am-3pm),The Kitchen Table,Sauteed Garlic Broccoli Rabe
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Whole Grain Penne
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Cheddar Cheese
2021-09-06,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Penne Pasta
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Homemade Soups,Jerk Chicken and Brown Rice Soup
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Penne Pasta
2021-09-06,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Garden Burger Patty
2021-09-06,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Eggplant Parmesan Melt
2021-09-06,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Assorted Veggie Toppings
2021-09-06,top-of-lenoir,Dinner (5pm-8:30pm),International Flavors,Baked Spaghetti
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Bolognese Sauce
2021-09-06,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Hamburger Bun
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Montreal Peppers
2021-09-06,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Jalapeno Peppers
2021-09-06,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Marinara Sauce
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Calabacitas
2021-09-06,top-of-lenoir,Lunch (11am-3pm),The Grill,Carne Quesadilla
2021-09-06,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Jerk Chicken and Brown Rice Soup
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Monterey Jack Cheese
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Jalapeno Cabbage Slaw
2021-09-06,top-of-lenoir,Lunch (11am-3pm),The Kitchen Table,Chili Garlic BBQ Beef
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Sour Cream
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Bakery,Assorted Cookies
2021-09-06,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Assorted Ice Cream
2021-09-06,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Grilled Montreal Salmon
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Alfredo Sauce
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Scallion Basmati Rice
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Brown Rice
2021-09-06,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Grilled Cheese on Texas Toast
2021-09-06,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Whole Grain Penne
2021-09-06,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Cheese Bread
2021-09-06,top-of-lenoir,Lunch (11am-3pm),The Grill,Assorted Veggie Toppings
