date,location,meal,category,name
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Wood Fired Pizza,Ham and Pineapple Pizza
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Tofu-Potato Hash
2021-11-13,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Grits
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Pancake Syrup
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Bakery,Coffee Cake
2021-11-13,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Scrambled Eggs
2021-11-13,top-of-lenoir,Brunch (11am-3pm),International Flavors,Five Cheese Baked Ziti
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Cage-Free Egg
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Bakery,Blueberry Muffin
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Oatmeal
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Grill,Grass-Fed Hamburger
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Grill,Udi's Gluten-Free Hamburger Bun
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Bakery,Vegan Jelly Filled Muffin
2021-11-13,top-of-lenoir,Continental  (10am-11am),Bakery,Coffee Cake
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Pancake Syrup
2021-11-13,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Cage-Free Egg
2021-11-13,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Oatmeal
2021-11-13,top-of-lenoir,Continental  (10am-11am),Bakery,Blueberry Muffin
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Bakery,Cinnamon Rolls
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Grill,Assorted Veggie Toppings
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Grill,Hamburger Bun
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Homemade Soups,Beef Chili
2021-11-13,top-of-lenoir,Continental  (10am-11am),Bakery,Vegan Jelly Filled Muffin
2021-11-13,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Pancake Syrup
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Rotisserie,Grilled Montreal Salmon
2021-11-13,top-of-lenoir,Continental  (10am-11am),Bakery,Cinnamon Rolls
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Bakery,Assorted Danishes
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Wood Fired Pizza,Classic Pepperoni Pizza
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Cajun Breakfast Stir- Fry
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Rotisserie,Toasted Spinach Orzo and Feta
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Wood Fired Pizza,Classic Cheese Pizza
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Scratchmade Blueberry Pancake
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Homemade Soups,Creamy Tomato Soup
2021-11-13,top-of-lenoir,Continental  (10am-11am),Bakery,Biscuits
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Bakery,Raisin Bran Muffin
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Wood Fired Pizza,White Four Cheese Pizza
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Pork Sausage Link
2021-11-13,top-of-lenoir,Continental  (10am-11am),Bakery,Assorted Danishes
2021-11-13,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Scratchmade Blueberry Pancake
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Enchilada Sauce
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Bacon
2021-11-13,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Pork Sausage Link
2021-11-13,top-of-lenoir,Continental  (10am-11am),Bakery,Raisin Bran Muffin
2021-11-13,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Bacon
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Bakery,Biscuits
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Pork Sausage Gravy
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Plant Forward,Vegan Banana French Toast
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Rotisserie,Steamed Broccoli
2021-11-13,top-of-lenoir,Brunch (11am-3pm),Rotisserie,Whole Edamame Pods
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Grits
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Kitchen Table,Scrambled Eggs
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Grill,Garden Burger Patty
2021-11-13,top-of-lenoir,Continental  (10am-11am),The Kitchen Table,Pork Sausage Gravy
2021-11-13,top-of-lenoir,Brunch (11am-3pm),The Grill,Ragin' Cajun Fries
