date,location,meal,category,name
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Bolognese Sauce
2021-11-02,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Italian Meatballs
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Bakery,Assorted Brownies
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Alfredo Sauce
2021-11-02,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Cage-Free Egg
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Seasoned Black Beans
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Salsa
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Bakery,Ice Cream Cone
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Chocolate Peanut Butter Cake
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Long Grain Jasmine Rice
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Corn
2021-11-02,top-of-lenoir,Lunch (11am-3pm),The Grill,Black Bean Burger
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Classic Pepperoni Pizza
2021-11-02,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Pork Sausage Gravy
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Roasted Fresh Asparagus
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Jalapeno Peppers
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Sour Cream
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Jalapeno Cabbage Slaw
2021-11-02,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Biscuits
2021-11-02,top-of-lenoir,Lunch (11am-3pm),International Flavors,Chicken Alfredo Penne
2021-11-02,top-of-lenoir,Lunch (11am-3pm),The Grill,Hamburger Bun
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Spaghetti Noodles
2021-11-02,top-of-lenoir,Breakfast (7am-11am),Bakery,Biscuits
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Asian Beef Noodle Soup
2021-11-02,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Brownies
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Peaches & Cream Parfait
2021-11-02,top-of-lenoir,Lunch (11am-3pm),The Grill,American Cheese
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Creamy Queso Dip
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2021-11-02,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Ice Cream Cone
2021-11-02,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Whole Grain Penne
2021-11-02,top-of-lenoir,Breakfast (7am-11am),Bakery,Assorted Danishes
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Seasoned Taco Beef
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Roasted Root Vegetables
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Bakery,Assorted Ice Cream
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Hot Tortilla Chips
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Grilled Lemon Chicken
2021-11-02,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Pork Sausage Link
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Guacamole Spread
2021-11-02,top-of-lenoir,Lite Lunch (3pm-5pm),Wood Fired Pizza,Classic Cheese Pizza
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Philly Cheesesteak
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Homemade Soups,Cheesy Caulilflower Soup
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,BBQ Pork Ribs
2021-11-02,top-of-lenoir,Lunch (11am-3pm),The Grill,Shoestring Fries
2021-11-02,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Grits
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Lettuce
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Cilantro Lime Rice
2021-11-02,top-of-lenoir,Lunch (11am-3pm),The Grill,Assorted Veggie Toppings
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Mushroom Pizza
2021-11-02,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Ice Cream
2021-11-02,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Bolognese Sauce
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Vegan Potato Croquettes
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Cheese Bread
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Bakery,Rice Krispie Treats
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Zesty Salsa Verde
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Steamed Whole Green Beans
2021-11-02,top-of-lenoir,Lunch (11am-3pm),The Grill,Udi's Hamburger Bun
2021-11-02,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Alfredo Sauce
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Coconut Macaroon with Chocolate
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Pico de Gallo
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2021-11-02,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Cookies
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Italian Meatballs
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Marinara Sauce
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,White Tortilla
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Peppers and Onions Sautee
2021-11-02,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Cinnamon Churros
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Classic Cheese Pizza
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Seared Salmon
2021-11-02,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Seasoned Ground Turkey
