date,location,meal,category,name
2022-02-10,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Turmeric Tofu Scramble
2022-02-10,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Linguine Pasta
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Cabbage
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,JP's Snickerdoodle Cookie
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Cheese Bread
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Madeleines
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Stress Less Cabinet,O'Doughs Original Bagel
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,White Rice Pilaf
2022-02-10,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Pork Sausage Gravy
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Fudge Brownie
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Philly Cheesesteak Pizza
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Classic Pepperoni Pizza
2022-02-10,top-of-lenoir,Breakfast (7am-11am),Bakery,Assorted Danishes
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Coconut Shrimp
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Edamame
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Pickled Ginger
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Bakery,Assorted Cookies
2022-02-10,top-of-lenoir,Lunch (11am-3pm),International Flavors,Pesto Alfredo Chicken & Tortellini
2022-02-10,top-of-lenoir,Breakfast (7am-11am),Bakery,Lemon Poppyseed Muffin
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Sausage and Seafood Paella
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Stress Less Cabinet,Katz Powdered Donut Holes
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Pesto Alfredo Sauce
2022-02-10,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,JP's Snickerdoodle Cookie
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Oven Roasted Green Beans
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Sweet & Sour Slaw
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Rice Krispie Treats
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Pickled Radish
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Potato Chickpea Curry
2022-02-10,top-of-lenoir,Breakfast (7am-11am),Stress Less Cabinet,JP's Blueberry Muffin
2022-02-10,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Buttermilk Pancakes
2022-02-10,top-of-lenoir,Lunch (11am-3pm),The Kitchen Table,Buttermilk Pancakes
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Brown Rice
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Crispy Wonton Chips
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Poke Dressing
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,Katz Cinnamon Donut Hole
2022-02-10,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Scrambled Eggs
2022-02-10,top-of-lenoir,Lunch (11am-3pm),The Kitchen Table,Scrambled Eggs
2022-02-10,top-of-lenoir,Breakfast (7am-11am),Stress Less Cabinet,Katz Glazed Donut Holes
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,O'doughs Everything Bagel
2022-02-10,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Pesto Alfredo Sauce
2022-02-10,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Rice Krispie Treats
2022-02-10,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Oatmeal
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Brown Rice
2022-02-10,top-of-lenoir,Lunch (11am-3pm),The Grill,Shrimp Po' Boy with Cajun Remoulade
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,JP's Brownie
2022-02-10,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,Katz Cinnamon Donut Hole
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,JP's Snickerdoodle Cookie
2022-02-10,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,O'doughs Everything Bagel
2022-02-10,top-of-lenoir,Lunch (11am-3pm),The Grill,Black Bean Burger Patty
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2022-02-10,top-of-lenoir,Breakfast (7am-11am),Stress Less Cabinet,JP's Snickerdoodle Cookie
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Alfredo Sauce
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Vegan Cheese Pizza
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Sliced Cucumber
2022-02-10,top-of-lenoir,Breakfast (7am-11am),Stress Less Cabinet,O'Doughs Multigrain Sandwich Slices
2022-02-10,top-of-lenoir,Lunch (11am-3pm),The Kitchen Table,Fried Tater Tots
2022-02-10,top-of-lenoir,Breakfast (7am-11am),Stress Less Cabinet,O'Doughs Original Sandwich Slices
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Philly Cheesesteak Pizza
2022-02-10,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,JP's Brownie
2022-02-10,top-of-lenoir,Breakfast (7am-11am),The Griddle,Spinach and Cheese Omelet
2022-02-10,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Marinara Sauce
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Brown Rice
2022-02-10,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Rice Pasta
