date,location,meal,category,name
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,O'Doughs Original Sandwich Slices
2022-02-17,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Scrambled Eggs
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Sliced Avocado
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Green Onions
2022-02-17,top-of-lenoir,Breakfast (7am-11am),Bakery,Chocolate Croissant
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Bakery,Fudge Brownie
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Vegan Cheddar Cheese
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Alfredo Sauce
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Toasted Spinach Orzo and Feta
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Rice Krispie Treats
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Cookies
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Whole Grain Penne
2022-02-17,top-of-lenoir,Breakfast (7am-11am),Specialty Bakery,Double Chocolate Chip Muffin
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,Katz Powdered Donut Holes
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Classic Pepperoni Pizza
2022-02-17,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Breakfast Potatoes
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Tater Tots
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Shredded Carrots
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Pickled Ginger
2022-02-17,top-of-lenoir,Breakfast (7am-11am),The Grill,"Ham, Egg, and Cheese Biscuit"
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Stress Less Cabinet,JP's Blueberry Muffin
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,O'Doughs Original Sandwich Slices
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Cabbage
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2022-02-17,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Buttermilk Pancakes
2022-02-17,top-of-lenoir,Breakfast (7am-11am),Specialty Bakery,Cranberry Orange Muffin
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Stress Less Cabinet,O'Doughs Multigrain Sandwich Slices
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Carrot Ginger Soup
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Green Onions
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Marinara Sauce
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Bakery,Rice Krispie Treats
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Whole Grain Penne
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Sweet and Spicy Chicken Stir-Fry
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Rice Pasta
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Classic Pepperoni Pizza
2022-02-17,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Cage-Free Egg
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Shredded Carrots
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Pickled Ginger
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Cabbage
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),International Flavors,Gouda and Shrimp Mac and Cheese
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Poke Dressing
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Beef Mushroom and Barley Soup
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Stress Less Cabinet,O'Doughs Original Bagel
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Assorted Cookies
2022-02-17,top-of-lenoir,Breakfast (7am-11am),The Griddle,Plain Cage-Free Omelet
2022-02-17,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Tofu-Potato Hash
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Italian Meatballs
2022-02-17,top-of-lenoir,Breakfast (7am-11am),Stress Less Cabinet,O'Doughs Pumpernickel Bagel
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Alfredo Sauce
2022-02-17,top-of-lenoir,Breakfast (7am-11am),Specialty Bakery,Biscuits
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Linguine Pasta
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,O'Doughs Pumpernickel Bagel
2022-02-17,top-of-lenoir,Breakfast (7am-11am),Stress Less Cabinet,O'Doughs Multigrain Sandwich Slices
2022-02-17,top-of-lenoir,Breakfast (7am-11am),Bakery,Cranberry Orange Muffin
2022-02-17,top-of-lenoir,Breakfast (7am-11am),Stress Less Cabinet,Katz Oatmeal Creme Pie
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Wood Fired Pizza,Classic Cheese Pizza
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Assorted Veggie Toppings
2022-02-17,top-of-lenoir,Lunch (11am-3pm),The Grill,Hamburger Bun
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,O'Doughs Multigrain Sandwich Slices
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Stress Less Cabinet,Katz Oatmeal Creme Pie
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Homestyle Mashed Potatoes
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Stress Less Cabinet,JP's Snickerdoodle Cookie
2022-02-17,top-of-lenoir,Lunch (11am-3pm),International Flavors,Gouda and Shrimp Mac and Cheese
2022-02-17,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Poke Dressing
2022-02-17,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Pesto Alfredo Sauce
2022-02-17,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Grits
2022-02-17,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Freshly Roasted Squash and Zucchini
