date,location,meal,category,name
2022-01-13,top-of-lenoir,Lunch (11am-3pm),The Grill,Shoestring Fries
2022-01-13,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2022-01-13,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Potato Bacon Chowder
2022-01-13,top-of-lenoir,Lunch (11am-3pm),Specialty Bakery,Chocolate Peanut Butter Cake
2022-01-13,top-of-lenoir,Breakfast (7am-11am),Bakery,Assorted Donuts
2022-01-13,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Alfredo Sauce
2022-01-13,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Sliced Cucumber
2022-01-13,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,White Rice Pilaf
2022-01-13,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Marinara Sauce
2022-01-13,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Rice Pasta
2022-01-13,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Buttermilk Pancakes
2022-01-13,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Classic Pepperoni Pizza
2022-01-13,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Stewed Tomatoes and Okra
2022-01-13,top-of-lenoir,Lunch (11am-3pm),The Grill,Black Bean Burger Patty
2022-01-13,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Marinara Sauce
2022-01-13,top-of-lenoir,Breakfast (7am-11am),The Griddle,Plain Cage-Free Omelet
2022-01-13,top-of-lenoir,Lite Lunch (3pm-5pm),Wood Fired Pizza,Classic Pepperoni Pizza
2022-01-13,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Classic Cheese Pizza
2022-01-13,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Indian- Spiced Cauliflower
2022-01-13,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Roasted Cherry Tomatoes
2022-01-13,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Crispy Fried Tofu
