date,location,meal,category,name
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Jalapeno Cabbage Slaw
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Burritos & Bowls,Taco Beef
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),The Kitchen Table,Roasted Sirloin
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Burritos & Bowls,Zesty Salsa Verde
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Classic Cheese Pizza
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Peach BBQ Chicken
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Wood Fired Pizza,Classic Pepperoni Pizza
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Wood Fired Pizza,Primavera Pizza
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Spicy Kale
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Snickerdoodle Blondie
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Pasta Bar,Bolognese Sauce
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Lettuce
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Turkey Chili
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Bakery,Rice Krispie Treats
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Rice Krispie Treats
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Burritos & Bowls,Jalapeno Cabbage Slaw
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Wood Fired Pizza,Classic Cheese Pizza
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Homemade Soups,Creamy Queso Dip
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Guacamole Spread
2022-01-17,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Marinara Sauce
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Plant Forward,Stewed Tomatoes
2022-01-17,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Cookies
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Salsa
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Specialty Bakery,Snickerdoodle Blondie
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),The Kitchen Table,Dijon Horseradish Spread
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Rotisserie,Steamed Baby Carrots
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Burritos & Bowls,Lettuce
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Seasoned Cauliflower
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Pico Salsa
2022-01-17,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Assorted Brownies
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),The Kitchen Table,Sauteed Seasoned Corn
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Toasted Spinach Orzo and Feta
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Pasta Bar,Italian Sausage
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Pasta Bar,Whole Grain Penne
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Bakery,Fudge Brownie
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Burritos & Bowls,Guacamole Spread
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Burritos & Bowls,Salsa
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Rice Pasta
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Plant Forward,Roasted Eggplant
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Peppers and Onions Sautee
2022-01-17,top-of-lenoir,Lite Lunch (3pm-5pm),Pasta Bar,Italian Sausage
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Hot Tortilla Chips
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Bakery,Fudge Brownie
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),International Flavors,Baked Penne (Made Without Gluten)
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Green Coconut Curry
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Pasta Bar,Marinara Sauce
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Roasted Cumin Eggplant
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Cheddar Cheese
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Assorted Veggie Toppings
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Burritos & Bowls,Peppers and Onions Sautee
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Garden Burger Patty
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Vegan Oatmeal Cranberry Cookie
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Burritos & Bowls,Hot Tortilla Chips
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),The Kitchen Table,Steamed Whole Green Beans
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Corn Nuggets
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Burritos & Bowls,Cheddar Cheese
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Homemade Soups,Turkey Chili
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),The Grill,Assorted Veggie Toppings
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Rocky Road Bars
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2022-01-17,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Rice Krispie Treats
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),The Grill,Garden Burger Patty
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Specialty Bakery,Vegan Oatmeal Cranberry Cookie
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Crinkle Cut Fries
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Pasta Bar,Alfredo Sauce
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Homemade Soups,Creamy Queso Dip
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),The Kitchen Table,Roasted Cherry Tomatoes
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Plant Forward,Vegan Cavatappi Alfredo
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),The Grill,Chicken Cheesesteak Sandwich
2022-01-17,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Sour Cream
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Specialty Bakery,Rocky Road Bars
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Burritos & Bowls,Pico Salsa
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),The Grill,Crinkle Cut Fries
2022-01-17,top-of-lenoir,Lunch (10:30am-3pm),Rotisserie,Chicken Tandoori
