date,location,meal,category,name
2021-08-16,top-of-lenoir,Lunch (11am-3pm),Homemade Soups,Italian Wedding Soup
2021-08-16,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Greek Chicken Pizza
2021-08-16,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Roasted Root Vegetables
2021-08-16,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,Classic Pepperoni Pizza
2021-08-16,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Savory Wild Rice Pilaf
2021-08-16,top-of-lenoir,Dinner (5pm-8:30pm),Plant Forward,Seasoned Green Peas
2021-08-16,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Pork Sausage Link
2021-08-16,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Freshly Roasted Squash and Zucchini
2021-08-16,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Tofu Fiesta
2021-08-16,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Seasoned Cauliflower
2021-08-16,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Zesty Salsa Verde
2021-08-16,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Seasoned Black Beans
2021-08-16,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Steamed Green Peas
2021-08-16,top-of-lenoir,Dinner (5pm-8:30pm),The Kitchen Table,Char Sui Pork
2021-08-16,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Oatmeal
2021-08-16,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Bolognese Sauce
2021-08-16,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Cage-Free Egg
2021-08-16,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Roasted Fresh Asparagus
2021-08-16,top-of-lenoir,Lite Lunch (3pm-5pm),Bakery,Fudge Brownie
2021-08-16,top-of-lenoir,Dinner (5pm-8:30pm),Burritos & Bowls,Monterey Jack Cheese
2021-08-16,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Blackened Shrimp and Broccoli Alfredo
2021-08-16,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Roasted Yellow Squash
2021-08-16,top-of-lenoir,Dinner (5pm-8:30pm),Wood Fired Pizza,"Ham, Feta, Spinach Pizza"
2021-08-16,top-of-lenoir,Dinner (5pm-8:30pm),Specialty Bakery,Raspberry White Chocolate Chip Blondie
2021-08-16,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Pancake Syrup
2021-08-16,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Alfredo Sauce
2021-08-16,top-of-lenoir,Dinner (5pm-8:30pm),Rotisserie,Rogan Josh Lamb
