date,location,meal,category,name
2021-08-27,top-of-lenoir,Lunch (11am-3pm),The Kitchen Table,Country Chicken Gravy
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Loaded Pizza
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Creamy Queso Dip
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,White Rice
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Rotisserie,Battered Cod
2021-08-27,top-of-lenoir,Lunch (11am-3pm),International Flavors,Bacon Carbonara Manicotti
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,White Tortilla
2021-08-27,top-of-lenoir,Breakfast (7am-11am),Bakery,Biscuits
2021-08-27,top-of-lenoir,Lunch (11am-3pm),The Grill,Garden Burger Patty
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Wood Fired Pizza,Cheese Bread
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Homemade Soups,Creamy Tomato Soup
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Italian Sausage
2021-08-27,top-of-lenoir,Lunch (11am-3pm),The Kitchen Table,Homestyle Mashed Potatoes
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Bakery,Assorted Cookies
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Plant Forward,Roasted Mushrooms
2021-08-27,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Oatmeal
2021-08-27,top-of-lenoir,Breakfast (7am-11am),The Grill,"Sausage, Egg, and Cheese Biscuit"
2021-08-27,top-of-lenoir,Lunch (11am-3pm),The Grill,Grass-Fed Hamburger
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Pasta Bar,Alfredo Sauce
2021-08-27,top-of-lenoir,Breakfast (7am-11am),The Kitchen Table,Bacon
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Lettuce
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Bakery,Assorted Brownies
2021-08-27,top-of-lenoir,Lunch (11am-3pm),The Grill,Hamburger Bun
2021-08-27,top-of-lenoir,Lunch (11am-3pm),Burritos & Bowls,Hot Tortilla Chips
2021-08-27,top-of-lenoir,Breakfast (7am-11am),Rotisserie,Grits
