category,name
The Grill,Waffle Fries
The Kitchen Table,Herb Roasted Red Potatoes
International Flavors,Pinto Beans
Simply Prepared Grill,Steamed Peas
Bakery,Vegan Date Bread
Rotisserie,Grits
Pasta,Tortellini with Meat Sauce
Specialty Bakery,Upside-Down Pineapple Coconut Cake
Specialty Bakery,Vegan Berry Crisp
Burritos & Bowls,Lettuce
Rotisserie,Steamed Green Peas
Plant Forward,Broccoli
The Kitchen Table,Blackened Tilapia
The Grill,Crispy Chicken Breast
Soup and Salads,Cream of Mushroom Soup
Stress Less Cabinet,Kinnikinnick Mint Magic Sandwich Creme Cookies
International Flavors,Spicy Orange Chicken
Specialty Bakery,Strawberry Cheesecake
Vegan Plant Forward,Pineapple Lentil Grain Bowl
Simply Prepared Grill,Chicken Shawarma
Rotisserie,Dijon Horseradish Spread
Plant Forward,Vegan Sloppy Joe
Specialty Bakery,Raspberry Peach Bars
Bakery,Chocolate Cappuccino Muffin
Soup and Salads,Turkey Kale Soup
Rotisserie,Sauteed Garlic Broccoli Rabe
The Kitchen Table,Roasted Montreal Potatoes
Pizza,Meat Lover's Pizza
Plant Forward,Basmati Rice
Bakery,Bacon & Cheese Biscuits
The Kitchen Table,Steamed Broccoli
Plant Forward,Roasted Brussels Sprouts
The Kitchen Table,Steamed Bok Choy
Bakery,Chocolate Cake with Raspberry Frosting
Rotisserie,Sweet Soy Green Beans
Bakery,Bananaberry Muffins
Simply Prepared Grill,Roasted Brussels Sprouts
Simply Prepared Grill,Basmati Rice
The Kitchen Table,Seared Salmon
Stress Less Cabinet,Kinnikinnick Cinnamon Sugar Donuts
Plant Forward,Seasoned Black Beans
The Kitchen Table,Crispy Trout and Creole Sauce
The Griddle,Udi's Gluten-Free Hamburger Bun
Specialty Bakery,Mini Grasshopper Cupcake
Rotisserie,Oven Roasted Baby Carrots
Specialty Bakery,Namoura with Almonds
Simply Prepared Grill,Potato Hash
The Kitchen Table,Shoestring Fries
Specialty Bakery,Lemon Cream Cake
Plant Forward,Sorghum Spiral Veggie Bowl
The Kitchen Table,Vegetarian Baked Beans
Stress Less Cabinet,O'Doughs Pumpernickel Bagel
The Kitchen Table,Turkey Gravy
Pizza,Spinach and Ricotta Pizza
International Flavors,Fresh Garlic
The Kitchen Table,Buttered Egg Noodles with Parsley
Stress Less Cabinet,JP's Brownie
Pizza,Beyond Sausage Pizza
The Grill,Meatball Sub
Specialty Bakery,Lemon Bars
Specialty Bakery,Peach Coconut Smoothie
Bakery,Berry Scones
Rotisserie,Corn Nuggets
Pizza,Sausage and Kale Pizza
Plant Forward,Tomato Relish
Rotisserie,Crispy Chicken Nuggets
Chef's Corner,Mixed Bell Peppers
Vegan Plant Forward,Steamed Edamame
The Grill,Udi's Gluten-Free Hamburger Bun
Bakery,Blueberry Scones
Simply Prepared Grill,Tex Mex Grilled Chicken Breast
Simply Prepared Grill,Confetti Rice
Burritos & Bowls,Taco Beef
Specialty Bakery,PB & J Muffins
International Flavors,Smoked Gouda Mac and Cheese
Rotisserie,Butter Chicken
Simply Prepared Grill,Pulled Chicken BBQ
Plant Forward,Roasted Mushrooms
Soup and Salads,Turkey Chili
Plant Forward,Sauteed Onions and Peppers
The Kitchen Table,Jalapeno Cabbage Slaw
Soup and Salads,Tomato Cucumber Salad
The Grill,Chili Topping
Simply Prepared Grill,Roasted Mediterranean Leg of Lamb
Specialty Bakery,Vegan Red Velvet Crinkle Cookie
The Kitchen Table,Herbed Spaghetti
Rotisserie,Chipotle Smoked Turkey
Rotisserie,Barley and Mushroom Pilaf
Bakery,Apple Cinnamon Quickbread
The Griddle,Hash Brown Potato Patty
Simply Prepared Grill,Grilled Bratwurst
The Kitchen Table,Roasted Butternut Squash
Specialty Bakery,Kale Cake
Pasta,Bacon Butternut Pasta Bake
Bakery,Apple Spice Cake
The Kitchen Table,Roasted Garlic Green Beans
Pizza,Spinach Artichoke and Goat Cheese Pizza
Simply Prepared Grill,Creole BBQ Chicken
Simply Prepared Grill,Black Beans
Stress Less Cabinet,JP's Snickerdoodle Cookie
The Griddle,Egg Whites
Plant Forward,Edamame
The Grill,Turkey Burger Patty
Fresh,The Cuban Panini
Pasta,Tortellini Alla Vodka
Rotisserie,Roasted Tomato Chutney
The Kitchen Table,Southern Biscuit
The Kitchen Table,Peas
Pasta Bar,Penne Pasta
Pizza,Shrimp Scampi Pizza
The Griddle,Turkey Burger
International Flavors,White Rice
Plant Forward,Steamed Edamame
The Kitchen Table,Marinara Sauce
The Kitchen Table,Steamed Carrots
The Kitchen Table,Freshly Roasted Squash and Zucchini
Specialty Bakery,Banana Pudding Parfait
Plant Forward,Vegan Horseradish Mashed Potatoes
Stress Less Cabinet,JP's Blueberry Muffin
Vegan Plant Forward,White Rice
International Flavors,Cilantro Pork Stir Fry
The Kitchen Table,Coleslaw
Wood Fired Pizza,Goat Cheese and Spinach Pizza
Soup and Salads,Pesto Tortellini Salad
Specialty Bakery,Vegan Cranberry Almond Orange Quickbread
The Griddle,Southwest Pepper Jack Burger
The Kitchen Table,Fried Hush Puppies
Burritos & Bowls,Peppers and Onions Sautee
The Grill,Ragin' Cajun Fries
Vegan Plant Forward,Pancake Syrup
International Flavors,Pizza Stuffed Shells
International Flavors,Rigatoni & Meatballs
The Kitchen Table,Tartar Sauce
The Griddle,Egg
Vegan Plant Forward,Roasted Tomato
Simply Prepared Salad and Soup,Steamed Peas
Plant Forward,Vegetable Medley
Pasta Bar,Alfredo Sauce
Plant Forward,Montreal Peppers
International Flavors,Spinach Alfredo Manicotti
Specialty Bakery,Chocolate Cake
Vegan Plant Forward,Steamed Whole Green Beans
Chef's Corner,Bacon Bits
Specialty Bakery,Orange Coffee Cake w/ Chocolate Streusel
Rotisserie,Roasted Prime Rib
The Kitchen Table,Horseradish Sauce
International Flavors,Grit Bowl
Plant Forward,White Bean Ragout
Rotisserie,Sweet & Sour Chicken & Veggies
Bakery,Tar Heel Ice Cream
Pasta,Penne Pasta
Nacho Bar,Seasoned Black Beans
Burritos & Bowls,Cheddar Cheese
The Kitchen Table,Baby Carrots with Fresh Dill
Specialty Bakery,Mango Raspberry Chia Pudding
The Kitchen Table,NC Trout with Magic Seasoning
International Flavors,Spinach and Cheese Stuffed Shells
Fresh,Blue Buffalo Chicken Panini
Vegan Plant Forward,BBQ Soy Nuggets
The Kitchen Table,Apple Braised Cabbage
Specialty Bakery,Mini Oreo Cupcake
The Kitchen Table,Battered Onion Rings
Pasta,Chicken Alla Vodka
Bakery,Assorted Cookies
Plant Forward,White Rice
Rotisserie,Collard Greens
Rotisserie,Mashed Sweet Potatoes
Plant Forward,Kiwi
Simply Prepared Grill,White Rice
The Grill,Chicago Style Grilled Hot Dog
The Kitchen Table,Seasoned Green Chili Corn
Plant Forward,Pancake Syrup
The Kitchen Table,Fried Tater Tots
Bakery,Raspberry Muffin
Bakery,Butternut Squash Bread with Walnuts
Specialty Bakery,Cinnamon Roll Fans
Pizza,Green Peppers
International Flavors,Mac and Cheese
Vegan Plant Forward,Lentil Dal
Create,Spicy Avocado Roll
Plant Forward,Cilantro Lime Rice
Plant Forward,Steamed Whole Green Beans
Pizza,Cheese Bread
Wood Fired Pizza,Pepper and Red Onion Pizza
Specialty Bakery,Vegan Oreo Cookies
The Kitchen Table,Lo Mein Noodles
Plant Forward,Tater Tots
Rotisserie,Blackened Shrimp and Broccoli Alfredo
Rotisserie,Salted Edamame
Pasta,Mac & Cheese
Plant Forward,Tofu BBQ
The Griddle,Bacon Bits
The Kitchen Table,Roasted Potato Rissole
Specialty Bakery,Raisin Bran Muffin
Vegan Plant Forward,Moroccan Grain Bowl
Burritos & Bowls,Poke Tuna
The Kitchen Table,Baked Potato
Rotisserie,Nam Tok Pork
Rotisserie,Beef & Broccoli Stir-Fry
Burritos & Bowls,Fajita Steak
Pasta Bar,Italian Meatballs
Plant Forward,BBQ Soy Nuggets
Soup and Salads,Turkey Kale Brown Rice Soup
Soup and Salads,Ancho Vegetable Beef Soup
Specialty Bakery,Raspberry Cookies
The Kitchen Table,Tangy Beef Brisket with Alabama BBQ Sauce
Plant Forward,Daiya Cheddar
Homemade Soups,Chicken Chipotle Soup
Homemade Soups,Tuscan Minestrone Soup
Plant Forward,Chipotle Soy Nuggets
The Griddle,Garden Burger Patty
Simply Prepared Grill,Smoky Roasted Squash
Create,Nonfat Vanilla Greek Yogurt
Soup and Salads,Cream of Broccoli Soup
The Kitchen Table,Swedish Meatballs
The Kitchen Table,Spanish Rice
International Flavors,Baked Spaghetti
Rotisserie,Sweet Potato Coconut Curry
The Kitchen Table,Seasoned Black-Eyed Peas
Simply Prepared Grill,Corn on the Cob
Bakery,Blueberry Cream Cheese Turnover
The Kitchen Table,Salisbury Steak with Gravy
Rotisserie,Spanish Brown Rice
The Kitchen Table,Roasted Yellow Squash
Simply Prepared Grill,Lamb Picadillo
Burritos & Bowls,Cabbage
International Flavors,Sesame Oil
The Kitchen Table,Broccoli Rabe with Garlic
Wood Fired Pizza,Philly Cheesesteak Pizza
Wood Fired Pizza,Buffalo Chicken Pizza
Burritos & Bowls,Ground Turkey Taco on Corn Tortilla
Soup and Salads,Carrot Ginger Soup
Plant Forward,Cauliflower Rice
Vegan Plant Forward,Vegan Mashed Potatoes
Soup and Salads,Hot Chili Con Carne
Wood Fired Pizza,Classic Cheese Pizza
Simply Prepared Grill,Cauliflower Rice
Rotisserie,Zesty Orange Glazed Carrots
Plant Forward,Citrus Coconut Mushroom Ceviche Tostada
Soup and Salads,Moroccan Chickpea Soup
Plant Forward,Signature Chips
Stress Less Cabinet,Katz Powdered Donut Holes
Wood Fired Pizza,Primavera Pizza
Simply Prepared Grill,Italian Grilled Chicken
Pasta,Manicotti
Bakery,Cranberry Orange Walnut Muffins
The Kitchen Table,Pulled Pork BBQ
International Flavors,Baby Corn
Pasta Bar,Marinara Sauce
The Kitchen Table,Eastern Style NC BBQ
Plant Forward,Oil and Vinegar Slaw
Chef's Corner,Kalamata Olives
The Kitchen Table,Sauteed Seasoned Corn
Simply Prepared Grill,Roasted Cauliflower
The Grill,Shrimp Po' Boy with Cajun Remoulade
Specialty Bakery,Vegan Chocolate Banana Bread
The Kitchen Table,Rouladen Sauce with Bacon
Bakery,Orange Muffin
Simply Prepared Grill,Honey Glazed Baby Carrots
The Kitchen Table,Fried Yucca
The Kitchen Table,Turkey Meatloaf
Specialty Bakery,Cannoli
The Grill,Cheese Sauce
Pizza,Buffalo Cauliflower Pizza
Vegan Plant Forward,Vegan Mango Pancakes
Homemade Soups,Chicken Florentine Soup
The Kitchen Table,Ranch Yukon Mashed Potatoes
International Flavors,Shredded Mozzarella Cheese
Plant Forward,Vegan Mashed Potatoes
Rotisserie,Flank Steak Marinade
Bakery,Chocolate Croissant
Rotisserie,Grilled Seasoned Naan
Specialty Bakery,Banana Nut Bread
International Flavors,Italian Sausage Baked Ziti
Specialty Bakery,Salted Caramel Blondies
The Kitchen Table,Rice Blend
Plant Forward,Vegan Cavatappi Alfredo
Plant Forward,Cilantro Lime Brown Rice
The Griddle,Cheddar Cheese
International Flavors,Garlic Beef Noodle Bowl
Rotisserie,Mexican Rice
International Flavors,Bacon Carbonara Manicotti
Simply Prepared Grill,Herbed Grilled Pork Chop
Create,Sweet & Sour Chicken Poke Bowl
Simply Prepared Grill,Braised Cabbage and Apples
The Kitchen Table,Sausage Patties
Wood Fired Pizza,Cheeseburger Pizza
International Flavors,Carrots
Soup and Salads,Chipotle Macaroni Salad
The Kitchen Table,Whole Edamame Pods
Specialty Bakery,Coconut Pineapple Jell-O
Plant Forward,Blueberry Chickpea Pancakes
The Kitchen Table,Marshmallows
Plant Forward,Vegan Mango Pancakes
Specialty Bakery,S'mores
Rotisserie,Elotes
Rotisserie,Potatoes Au Gratin
Burritos & Bowls,Tofu Fiesta
Pizza,Diced Chicken
Pizza,Sriracha Bacon Cheeseburger Pizza
International Flavors,Rice Noodles
Vegan Plant Forward,Buffalo Cauliflower Taco
Specialty Bakery,Assorted Brownies
The Kitchen Table,Honey Mustard Pork Loin
Pizza,"Bacon, Jalapeno, and Honey Pizza"
The Kitchen Table,Caramelized Apples
The Kitchen Table,Whole Wheat French Toast
Nacho Bar,Sauteed Chorizo
The Kitchen Table,Seasoned Cauliflower
Stress Less Cabinet,O'Doughs Original Bagel
Rotisserie,Steamed Baby Carrots
Vegan Plant Forward,Steamed Corn
Plant Forward,Sweet & Sour Slaw
International Flavors,Penne Pasta
Plant Forward,Guacamole
Pizza,Italian Sausage
The Grill,Cheddar Cheese Sauce
Rotisserie,Broccoli
Nacho Bar,Sour Cream
The Griddle,French Toast
The Kitchen Table,Oven Roasted Green Beans
Specialty Bakery,Chocolate Mousse Cups
Rotisserie,Olive Oil Penne
International Flavors,Beefy Macaroni and Cheese
The Kitchen Table,Grits
Specialty Bakery,Almond and Ricotta Cake
The Kitchen Table,Steamed Green Peas
International Flavors,Chicken Alla Vodka
International Flavors,Gouda and Shrimp Mac and Cheese
The Kitchen Table,Roasted Eggplant
Burritos & Bowls,Zesty Salsa Verde
Vegan Plant Forward,Roasted Zucchini
The Kitchen Table,Stewed Tomatoes and Okra
The Griddle,Smiley Fries
Rotisserie,Sausage and Seafood Paella
The Kitchen Table,Dijon Horseradish Spread
Bakery,White Chocolate Cinnamon Scones
Soup and Salads,Roasted Corn Potato Chowder
Bakery,Granola Bar
Simply Prepared Grill,Sauteed Mushrooms
Bakery,Cinnamon Swirl Butterscotch Quickbread
International Flavors,Curry Chicken with Rice and Vegetables
Bakery,Blueberry Muffin
The Kitchen Table,Oven Roasted Baby Carrots
Bakery,Assorted Donuts
International Flavors,Scrambled Eggs
Vegan Plant Forward,Simply Roasted Green Chili Corn
Plant Forward,Risotto Cakes
Bakery,Strawberry Cupcake
International Flavors,Mac & Cheese
The Grill,Crispy Sweet Potato Fries
Bakery,Biscuits
Stress Less Cabinet,O'doughs Everything Bagel
Plant Forward,Steamed Corn
Vegan Plant Forward,Savory Wild Rice Pilaf
Specialty Bakery,Overnight Coconut & Mango Oats
Wood Fired Pizza,Loaded Pizza
Bakery,Fudge Brownie
Vegan Plant Forward,Warm Mango Slaw
The Kitchen Table,Puerto Rican Roasted Pork
Soup and Salads,French Onion Soup
Rotisserie,Pinto Beans
Rotisserie,Butternut Squash & Swiss Chard
Rotisserie,Roasted Root Vegetables
Pasta,Chicken Artichoke Alfredo
Bakery,Apple Crumb Cake
Fresh,Roasted Red Pepper and Mozzarella Panini
Vegan Plant Forward,Vegan Tagine
Vegan Plant Forward,Pineapple Teriyaki Vegan Meatballs
The Griddle,Grilled Cheese Sandwich
The Griddle,All-American Cheeseburger
Rotisserie,Buffalo- Style Meatloaf
The Griddle,Chipotle Chicken Sandwich
The Kitchen Table,Savory Grits
The Kitchen Table,Crispy Chicken Nuggets
Wood Fired Pizza,"Ham, Feta, Spinach Pizza"
Plant Forward,Roasted Zucchini
Pizza,Diced Ham
Simply Prepared Grill,Roasted Zucchini
Homemade Soups,Manhattan Clam Chowder
Specialty Bakery,Vegan Coffee Cake
Vegan Plant Forward,Sauteed Spinach
The Kitchen Table,Creamy Mashed Potatoes
Specialty Bakery,Kale Cake with Cream Cheese Frosting
The Kitchen Table,Roasted Sirloin
Vegan Plant Forward,Teriyaki Soy Nuggets
The Kitchen Table,Beef Taco on Corn Tortilla
Pizza,Classic Pepperoni Pizza
The Grill,Rueben Panini
Wood Fired Pizza,Vegan Cheese Pizza
Plant Forward,Zucchini and Tomatoes
Homemade Soups,Roasted Corn Chowder
Homemade Soups,Asian Beef Noodle Soup
The Griddle,Sliced Vermont Cheddar Cheese
Vegan Plant Forward,General Tso's Soy Nuggets
The Kitchen Table,Bacon Cheddar Chive Mashed Potatoes
Vegan Plant Forward,Greek Pasta Toss
Rotisserie,Edamame
Specialty Bakery,Rocky Road Bars
Specialty Bakery,Flan
Specialty Bakery,Vegan Oatmeal Cranberry Cookie
Simply Prepared Grill,Simply Roasted Green Chili Corn
Bakery,Lemon Blueberry Loaf Cake
Simply Prepared Grill,Basmati Rice and Lentils
Bakery,Lemon Yogurt Bread
Specialty Bakery,Red Velvet Cheesecake
Specialty Bakery,Funfetti Cupcakes
Simply Prepared Grill,Warm Mango Slaw
Burritos & Bowls,White Tortilla
Specialty Bakery,Banana Split Cupcakes
Specialty Bakery,Vegan Chocolate Walnut Muffin
Rotisserie,Chicken Pot Pie
Soup and Salads,Creamy Tomato
The Grill,"Ham, Egg, and Cheese Biscuit"
Rotisserie,Biscuits
Wood Fired Pizza,Greek Pizza
Specialty Bakery,Vegan Marbled Bundt Cake
International Flavors,Manicotti
International Flavors,Chili Garlic Sauce
Specialty Bakery,Chocolate Peanut Butter Parfait
Bakery,Blueberry Overnight Oats
Plant Forward,Romesco Sauce
Bakery,Goat Cheese and Pear Biscuit
Nacho Bar,Guacamole
Rotisserie,Cajun Rotisserie Chicken
Soup and Salads,Chicken & Red Grape Salad
Rotisserie,Lemon Wedges
The Kitchen Table,Cream of Rice
Vegan Plant Forward,Grilled Greek Tofu
Rotisserie,Cranberry & Orange Relish
Rotisserie,Chicken Tandoori
Simply Prepared Grill,Jerk Chicken
Simply Prepared Grill,Steamed Broccoli
Plant Forward,General Tso's Soy Nuggets
The Kitchen Table,BBQ Pork Chop
The Kitchen Table,Chicken Tenders
International Flavors,Spicy Asian Orange Sauce
Plant Forward,Spicy Butternut Squash
Specialty Bakery,Strawberry Banana Smoothie
Vegan Plant Forward,Roasted Butternut Squash
The Kitchen Table,Roasted Prime Rib
International Flavors,Cajun Shrimp Bowl
Soup and Salads,Kielbasa and Lentil Soup
The Kitchen Table,Brown Rice
International Flavors,Mixed Bell Peppers
The Kitchen Table,Hush Puppies
The Kitchen Table,Creamy Cheese Grits
Specialty Bakery,Zucchini Muffins
Rotisserie,Oatmeal
Simply Prepared Grill,EVOO Mashed Potatoes
Simply Prepared Grill,Vegetarian Baked Beans
International Flavors,Baby Carrots
The Kitchen Table,Rotisserie BBQ Chicken
Rotisserie,White Rice
Soup and Salads,Curried Cauliflower Soup
International Flavors,Egg
International Flavors,Salmon Penne with Vegetables
The Kitchen Table,White Pepper Gravy
The Kitchen Table,Sesame Garlic Bok Choy
Rotisserie,Pork Carnitas Style Tacos
Bakery,Butterscotch Pecan Scones
Rotisserie,Pineapple White Rice
Specialty Bakery,Vegan Red Velvet White Chocolate Chip Cookies
The Griddle,Hush Puppies
The Kitchen Table,Creamed Spinach
The Kitchen Table,Baked Penne
Burritos & Bowls,Hot Tortilla Chips
Vegan Plant Forward,Fried Hush Puppies
Fresh,Goat Cheese and Tomato Spinach Panini
Plant Forward,Turmeric Tofu Scramble
Rotisserie,Steamed Whole Green Beans
Pasta,Spinach Artichoke Tortellini
International Flavors,Basmati Rice
Specialty Bakery,Strawberry Cream Cheese Turnover
Create,General Soy Nugget Poke Bowl
Pizza,Sausage Pizza
Homemade Soups,Potato Bacon Chowder
The Kitchen Table,Spicy Kale
Vegan Plant Forward,Basmati Rice
Pizza,Chipotle Chicken & Ranch Pizza
Bakery,Banana Nut Muffin
Specialty Bakery,Apple Cinnamon Scone
Plant Forward,Roasted Butternut Squash
Specialty Bakery,Coconut Date Ball
The Kitchen Table,Breakfast Potatoes
Simply Prepared Grill,Roasted Butternut Squash
The Kitchen Table,Crispy Chicken Breast
Simply Prepared Grill,Roasted Garlic Green Beans
The Kitchen Table,Olympia Slaw
Bakery,Strawberry Overnight Chia Oats
Soup and Salads,Potato and Leek Soup
Create,Baby Spinach
International Flavors,Chicken Tijuana
Bakery,Croissant
Stress Less Cabinet,Kinnikinnick Chocolate Sandwich Creme Cookies
The Kitchen Table,Roasted Yukon Potatoes
The Grill,Loaded Chili Cheese Dog
Rotisserie,Pork Sausage Gravy
Burritos & Bowls,Southwest Chicken
Soup and Salads,Tuscan Minestrone Soup
Plant Forward,Steamed Carrots
The Grill,Grilled Hot Dog
The Kitchen Table,Bratwurst
International Flavors,Bacon Bits
Specialty Bakery,Red Velvet Cake
Vegan Plant Forward,Middle Eastern Falafel
Specialty Bakery,Mixed Berry Smoothie
Rotisserie,Snow Peas
Specialty Bakery,Key Lime Pie
Vegan Plant Forward,Seasoned Green Chili Corn
Pizza,Margherita Pizza
Specialty Bakery,Peanut Butter Cheesecake
Rotisserie,Jasmine Rice
Bakery,Valentine's Jello Cup
Bakery,Orange Poppy Loaf
The Kitchen Table,Meatball Sub
Specialty Bakery,Chocolate Cappuccino Muffin
Plant Forward,Sliced Bananas
The Kitchen Table,Ancho BBQ Sauce
Rotisserie,Pan Roasted Asparagus
Specialty Bakery,Bacon & Cheese Biscuits
Bakery,Chocolate Chip Cake
Specialty Bakery,Chocolate Cake with Raspberry Frosting
International Flavors,Black Beans
Bakery,Assorted Danishes
The Kitchen Table,Italian Sausage and Peppers Sandwich
Specialty Bakery,Bananaberry Muffins
Plant Forward,Cherries
Rotisserie,Cajun Cod
Simply Prepared Grill,Chipotle Pinto Beans
The Kitchen Table,Chicken Tikka Masala
The Kitchen Table,Coconut Shrimp
The Kitchen Table,Bacon and Scallion Mashed Potatoes
The Griddle,Spinach and Cheese Omelet
Bakery,Apple Crumb Muffin
Vegan Plant Forward,Brown Lentil Dal
International Flavors,Teriyaki Beef
Specialty Bakery,Mixed Berry Cobbler
The Griddle,Crispy Chicken Tenders
Bakery,Cherry Turnover
The Griddle,Shoestring Fries
The Griddle,Black Bean Burger Patty
Plant Forward,Seasoned Green Chili Corn
Rotisserie,Mediteranean Couscous
The Griddle,Vegetarian Chorizo Breakfast Bowl
Specialty Bakery,Lemon Lavendar Sparkler Cookies
Vegan Plant Forward,Caribbean Root Vegetable Seitan Curry
Simply Prepared Grill,Cuban Mojo Chicken
Specialty Bakery,Blueberry Scones
International Flavors,Spicy Shrimp & Cheddar Grits
International Flavors,Pork Sausage
International Flavors,Pineapple
The Kitchen Table,Hot Dog
Rotisserie,Toasted Spinach Orzo and Feta
Plant Forward,Long Grain Jasmine Rice
Bakery,Vegan Cinnamon Raisin Muffin
Vegan Plant Forward,Roasted Yellow Squash
Plant Forward,Carolina Heirloom Tomatoes
Stress Less Cabinet,Katz Oatmeal Creme Pie
Simply Prepared Grill,Armenian Roasted Vegetables
Vegan Plant Forward,Broccoli Rabe with Garlic
The Griddle,Mexican Torta de Pollo
Specialty Bakery,Chocolate Flourless Cake
The Kitchen Table,Country Fried Beef Steak and Gravy
Pasta,Athos Pasta Bake
Specialty Bakery,Apple Spice Cake
Plant Forward,Rosemary Potatoes
International Flavors,Five Cheese Baked Ziti
Soup and Salads,Creamy Chicken and Corn Soup
The Kitchen Table,Hearty Steak Fries
The Kitchen Table,Country Beef Gravy
Pizza,Loaded Vegetable Pizza
Vegan Plant Forward,Beyond Burger
The Grill,Sauteed Seasoned Mushrooms
International Flavors,General Tso Tempura Chicken
Plant Forward,Krab Cake Sauce
The Grill,BBQ Chicken Slider
Specialty Bakery,Palmiers
Specialty Bakery,Mocha Cups
International Flavors,Fried Onion
Plant Forward,Eggplant Balls with Mushroom Gravy
The Griddle,Hot Tortilla Chips
Wood Fired Pizza,White Four Cheese Pizza
The Grill,Egg and Cheese Biscuit
The Kitchen Table,Seasoned Black-eyed Peas
Bakery,Lemon Poppyseed Muffin
Bakery,"Overnight Coconut, Mango, and Blueberry Oats"
Pasta,Baked Sun Dried Tomato Alfredo
Soup and Salads,Chipotle Chicken Soup
International Flavors,Cheddar Cheese
The Griddle,Shredded Mozzarella
The Kitchen Table,Grilled Lemon Chicken
Bakery,Guava Pastelitos
Vegan Plant Forward,Fried Yucca
The Kitchen Table,Chicken Parmesan
The Kitchen Table,Red Cabbage with Apples and Onions
Bakery,White Chocolate Raspberry Scone
Pasta Bar,Diced Chicken
International Flavors,Spicy Orange Pork
Simply Prepared Grill,Roasted Yellow Squash
The Grill,Blackened Salmon Burger
The Kitchen Table,Grilled Italian Sausage with Peppers & Onions
Rotisserie,Yellow Rice
Wood Fired Pizza,BBQ Chicken and Bacon Pizza
Bakery,Double Chocolate Chip Muffin
The Griddle,Shredded Cheddar Cheese
The Kitchen Table,Steamed Baby Carrots
Rotisserie,Fried Egg
Simply Prepared Grill,Broccoli Rabe with Garlic
Plant Forward,Maple Carrots
Specialty Bakery,Sweet Potato Bread Pudding
Pizza,Honey Sriracha Chicken Pizza
Pasta,Cheese- Stuffed Shells
Plant Forward,Beyond Burger
Homemade Soups,Broccoli & Cheddar Soup
Pizza,Vegan Margherita Pizza
Specialty Bakery,Vanilla Eclair Parfait
Soup and Salads,Tomato Lentil Soup
Specialty Bakery,Tar Heel Ice Cream
Rotisserie,Pan Roasted Red Potatoes
Chef's Corner,Goat Cheese Grit Cake
Soup and Salads,Chili Cheddar Potato Soup
Plant Forward,Cajun Breakfast Stir- Fry
Vegan Plant Forward,Moroccan Vegetable Stew
International Flavors,Jerk Chicken Alfredo
Bakery,Blueberry Banana Bread
Vegan Plant Forward,Blueberry Compote
Rotisserie,Red Curry Cod with Mango
The Kitchen Table,Seasoned Black Beans
International Flavors,Veggie Fried Rice and Chile Garlic Sauce
Rotisserie,Sauteed Spicy Garlic Spinach
Plant Forward,Pickles
Specialty Bakery,Assorted Cookies
The Kitchen Table,Butter
The Grill,Grass Fed Burger Patty
The Kitchen Table,Blackened Pollock
The Kitchen Table,Goat Cheese Mashed Red Potatoes
Rotisserie,Pork Chop with Mango Chutney
Specialty Bakery,Brownies
Wood Fired Pizza,Cheese Bread
Stress Less Cabinet,Kinnikinnick Birthday Cream Sandwich Cookie
The Griddle,Bacon and Cheese Cage-Free Omelet
The Kitchen Table,Baked Beans
International Flavors,Grape Tomatoes
The Kitchen Table,Red Cabbage Slaw
Rotisserie,Steamed Corn
Pasta,Alfredo Sauce
Specialty Bakery,Raspberry Muffin
Specialty Bakery,Butternut Squash Bread with Walnuts
Specialty Bakery,Waffle Trifle
Plant Forward,Cheddar Cheese
Burritos & Bowls,Cilantro Lime Rice
Rotisserie,Roasted Cherry Tomatoes
International Flavors,Turkey Kale Penne Bake
Stress Less Cabinet,O'Doughs Multigrain Sandwich Slices
The Kitchen Table,Cajun Red Skin Potatoes
The Kitchen Table,Grilled Montreal Salmon
The Kitchen Table,Brown Sugar
Rotisserie,Penne Pasta
Rotisserie,Golden Chicken Parmesan
Plant Forward,Peppers and Onion
Homemade Soups,Hungarian Mushroom Soup
The Kitchen Table,Pinto Beans
Rotisserie,Country Chicken Gravy
The Kitchen Table,Roasted Root Vegetables
Specialty Bakery,Assorted Yogurts
Rotisserie,Lemon Vinaigrette
The Grill,BBQ Bacon Crispy Chicken Sandwich
The Kitchen Table,Roasted Top Round Beef
Simply Prepared Grill,Roasted Chicken
Plant Forward,Blueberries
The Griddle,Hamburger Bun
Simply Prepared Grill,Rice Blend
Burritos & Bowls,Crispy Fried Tofu
Rotisserie,Sweet and Spicy Chicken Stir-Fry
Pizza,Diced Red Onions
Create,Ahi Tuna Umami Poke Bowl
Rotisserie,Roasted Fresh Asparagus
The Griddle,Classic Reuben Sandwich
Plant Forward,Old Bay Baked Potato Wedges
The Kitchen Table,Crispy Catfish
The Griddle,Carolina Heirloom Tomatoes
Soup and Salads,Manhattan Clam Chowder
International Flavors,Chili Garlic BBQ Beef
Vegan Plant Forward,Roasted Eggplant
The Kitchen Table,Fried Chicken
Specialty Bakery,Chocolate Mousse Cake
Soup and Salads,Corn Chowder
Rotisserie,Cornbread Stuffing
International Flavors,Chopped Kale
The Griddle,Local Grass-fed Burger Patties
Create,Frozen Pineapple Cubes
Specialty Bakery,Vegan Energy Bites
Plant Forward,Whole Edamame Pods
Rotisserie,Steamed Fresh Cauliflower
Stress Less Cabinet,Katz Glazed Donut Holes
Vegan Plant Forward,Quinoa Lentil Taco
The Grill,Fried Tater Tots
Soup and Salads,Asian Beef Noodle Soup
