category,name
Specialty Bakery,NY Cheesecake
Rotisserie,Green Beans
Rotisserie,Wild Rice
Soup and Salads,Hungarian Mushroom Soup
Pasta,Penne Meatballs
Vegan Plant Forward,Steamed Baby Carrots
Specialty Bakery,Banana Nut Muffin
The Griddle,Sweet Yellow Onion
Simply Prepared Grill,Roasted Apples
Plant Forward,Strawberries
The Griddle,Sliced Dill Pickles
Simply Prepared Grill,Red Beans
Rotisserie,Herbed Tomato Ratatouille
Specialty Bakery,Strawberry Overnight Chia Oats
Specialty Bakery,Cherry Almond Muffin
Specialty Bakery,Croissant
The Griddle,Waffle Fries
The Kitchen Table,Roasted Fresh Asparagus
International Flavors,Sausage and Kale Penne
International Flavors,Creamy Cajun Havarti Shrimp & Broccoli Pasta
Plant Forward,Stuffed Baked Eggplant
Chef's Corner,Tomato Bacon Ragout
Simply Prepared Grill,Papas con Ejotes
Nacho Bar,Jalapeno Peppers
Nacho Bar,Cajun Pinto Beans
Specialty Bakery,Apple Crisp
Plant Forward,Spanish Style Brown Rice
International Flavors,Taos Chicken
The Griddle,Crispy Chicken Breast
The Grill,Harissa Chicken Quesadilla
Soup and Salads,Roasted Garlic Asparagus Soup
Simply Prepared Grill,Herbed Balsamic Flank Steak
Nacho Bar,Black Olives
The Kitchen Table,Steamed Fresh Cauliflower
Chef's Corner,Diced Yellow Onions
The Griddle,Diced Turkey
The Kitchen Table,Mac & Cheese
International Flavors,Shrimp Pad Thai
Homemade Soups,Split Pea Soup
Rotisserie,Toppings Station
Rotisserie,Seasoned Cauliflower
Chef's Corner,Diced Ham
Pasta,Chicken Artichoke & Spinach Pasta Bake
The Kitchen Table,Popcorn Shrimp
Rotisserie,Cauliflower Rice
Specialty Bakery,Passion Fruit Panna Cotta
Specialty Bakery,Valentine's Jello Cup
Specialty Bakery,Orange Poppy Loaf
International Flavors,Lo Mein Noodles
Burritos & Bowls,Creamy Queso Dip
Pasta,Chicken Penne with Fire Roasted Tomatoes
Burritos & Bowls,Seasoned Black Beans
Homemade Soups,Double Chicken Noodle Soup
The Griddle,Bananas Foster French Toast
Rotisserie,Oven Roasted Green Beans
Plant Forward,Steamed Baby Carrots
Specialty Bakery,Cornflake Cookies
The Kitchen Table,Southern Succotash
Specialty Bakery,Chocolate Chip Cake
Pizza,"Bacon, and Pickle Pizza"
International Flavors,Beef Macaroni and Cheese
The Kitchen Table,Old-Fashioned Coleslaw
Simply Prepared Grill,Steamed Baby Carrots
The Kitchen Table,Green Onions
Simply Prepared Grill,Southwest Chicken
Specialty Bakery,Assorted Danishes
Plant Forward,Olive Oil Penne
Specialty Bakery,Flourless Monster Peanut Bar
Plant Forward,Wasabi Ginger Mashed Potato
Bakery,Lemon Loaf
International Flavors,Roasted Veggie Ziti
The Kitchen Table,Dublin Smashed Potato
The Kitchen Table,Sauteed Spinach
Pasta,Cauliflower Sun-dried Tomato Alfredo
Rotisserie,Chili Garlic BBQ Beef
Chef's Corner,Sauteed Shrimp
Specialty Bakery,Creamsicle Parfait
Specialty Bakery,Apple Crumb Muffin
The Kitchen Table,Cage-Free Egg
Specialty Bakery,Vegan Crinkle Cookie
Vegan Plant Forward,"Chili Roasted Mango, Plantains, and Pineapples"
Stress Less Cabinet,Kinnikinnick Vanilla Glazed Donuts
Homemade Soups,Chili Con Carne
Create,100% Apple Juice
The Kitchen Table,Herbed Roasted Turkey
Pizza,Vegan Mozzarella Cheese
Simply Prepared Grill,Seasoned Black Beans
Rotisserie,Corn Pudding
Pizza,Pineapple
Specialty Bakery,Cherry Turnover
Homemade Soups,Creamy Queso Dip
Plant Forward,Baked Beans
The Kitchen Table,BBQ Pork Ribs
Plant Forward,Hamburger Bun
Rotisserie,Red Beans and Rice
Pasta Bar,Rice Pasta
Fresh,Sante Fe Chicken Panini
Plant Forward,Turmeric Roasted Cauliflower
The Kitchen Table,Country Ham
The Griddle,Diced Ham
Specialty Bakery,Pound Cake with Strawberry Topping
Homemade Soups,Jerk Chicken and Brown Rice Soup
The Kitchen Table,Cheese Grits
Pasta,Layered Penne Bake
Chef's Corner,Gemelli Pasta
Chef's Corner,Marinara Sauce
The Kitchen Table,Baked Sweet Potato
Specialty Bakery,Vegan Cinnamon Raisin Muffin
Plant Forward,Roasted Root Vegetables
The Grill,Chili Cheddar Dog
Soup and Salads,White Bean and Pepper Stew
Rotisserie,Smashed Avocado Spread
Specialty Bakery,Coconut Macaroon with Chocolate
Specialty Bakery,Cupcakes with Fudge Icing
Vegan Plant Forward,Sesame Ginger Grain Bowl
Pizza,Apple and Goat Cheese with Caramelized Onion
Plant Forward,Iceberg Lettuce
Bakery,PB & J Muffins
Specialty Bakery,Apple Cinnamon Quickbread
Plant Forward,Vegan Mac & Cheese
Homemade Soups,Beef Mushroom and Barley Soup
The Kitchen Table,Chicken Marsala
Specialty Bakery,Soft Pretzels
The Grill,Shoestring Fries
The Grill,Black Bean Burger Patty
Specialty Bakery,Chocolate Chip Cookie
Burritos & Bowls,Edamame
Soup and Salads,Vegetable Bean Soup
Homemade Soups,Cuban Split Pea Soup with Pork
Soup and Salads,Hearty Chicken Gumbo
Rotisserie,Roasted Sirloin
International Flavors,Chicken Caesar Pasta Bake
Nacho Bar,Hot Tortilla Chips
Specialty Bakery,Raspberry White Chocolate Chip Blondie
The Kitchen Table,Peach BBQ Chicken
The Kitchen Table,Honey BBQ Pork Chop
Rotisserie,Roasted Grape Tomatoes
Plant Forward,Roasted Cumin Eggplant
Specialty Bakery,Lucky Charms Bar
International Flavors,Corn
Specialty Bakery,Lemon Poppyseed Muffin
The Kitchen Table,Cajun Chili Topping
Plant Forward,Sauteed Shrimp with Thai Chili Sauce
Specialty Bakery,"Overnight Coconut, Mango, and Blueberry Oats"
The Kitchen Table,Fried Okra
International Flavors,Yellow Onions
Specialty Bakery,Guava Pastelitos
The Kitchen Table,Steamed Peas
Pasta Bar,Whole Grain Penne
Specialty Bakery,White Chocolate Raspberry Scone
Specialty Bakery,JP's Brownie
Specialty Bakery,Fudge Pudding Cake
Soup and Salads,Chicken & Wild Rice Soup
Bakery,Vegan Cranberry Almond Orange Quickbread
International Flavors,Cajun Chicken Smoked Gouda Pasta
Specialty Bakery,Double Chocolate Chip Muffin
