category,name
Simply Prepared Grill,Beef Taco on Corn Tortilla
Specialty Bakery,Strawberry Pound Cake
Rotisserie,Battered Cod
Bakery,Warm Cinnamon Rolls
Plant Forward,Bistro Tofu
International Flavors,Vegetable and Cheese Lasagna
Rotisserie,Local Roasted Heirloom Tomatoes
Pasta,Pesto Cheese Tortellini
Plant Forward,Sweet Potato Fries
Plant Forward,Seasoned Green Chili Corn
The Kitchen Table,Turkey Tacos
The Kitchen Table,Confetti Rice
Plant Forward,Tomato Relish
Plant Forward,Baked Beans
The Kitchen Table,Roasted Squash
The Kitchen Table,Braised Cabbage and Apples
Specialty Bakery,Lemon Cream Cake
Specialty Bakery,Mini Red Velvet Cupcake
Plant Forward,Vegan Eggplant Parmesan
Create,Tofu Poke Bowl
Plant Forward,Salsa
The Grill,French Fries
Plant Forward,Tikka Masala Tofu
The Kitchen Table,Beef Brisket
Wood Fired Pizza,Philly Cheesesteak Pizza
Rotisserie,Steamed Edamame
The Kitchen Table,Szechuan Glazed Beef
Specialty Bakery,Chocolate Chip Blondie
International Flavors,Baked Butternut Mac and Cheese
The Kitchen Table,Crispy Chicken Tenders
Soup and Salads,Veggie Beef Soup
Rotisserie,Chipotle Lime Chicken
Create,General Soy Nugget Poke Bowl
Simply Prepared Grill,Braised Cabbage and Apples
The Griddle,Sliced Turkey
The Griddle,Sliced Cheddar Cheese
The Kitchen Table,Steamed Edamame
Create,Mango
Specialty Bakery,Red Velvet Cake
Create,Strawberries
International Flavors,Fresh Mint
Simply Prepared Grill,Braised Cabbage
Specialty Bakery,Apple Crisp
International Flavors,Green Onions
Create,Low-Fat Granola
International Flavors,Sweet Chili Sauce
International Flavors,Pickled English Cucumber
International Flavors,Jasmine Rice
International Flavors,Cilantro
Create,Sorbet Berry Acai
International Flavors,Vietnamese Pork Rice Bowl
The Kitchen Table,Grilled Chicken Breast
Plant Forward,Oven Roasted Green Beans
The Grill,Local Grass-fed Burger Patties
The Griddle,Brioche Bun
The Griddle,Pepper Jack Pimento Cheese
The Griddle,"UNC Signature Fresh Ground Brisket, Short Rib, and Chuck Burger"
The Griddle,Spicewalla Buxton Hall BBQ Seasoned Fries
The Griddle,LL Urban Farm Hydroponic Bibb Lettuce
The Griddle,Carolina Heirloom Tomatoes
The Griddle,Cheshire Farms Applewood Smoked Bacon
Nacho Bar,Carne Asada
The Griddle,Hines Family Farms Scratch Pickles
Bakery,Oatmilk
The Kitchen Table,Sauteed Cajun Shrimp
Pasta,Sausage Cavatappi
The Grill,Black Bean Burger Patty
Simply Prepared Grill,Baked Rotisserie Chicken
Plant Forward,Vegan Mango Pancakes
The Griddle,Corn Dog
The Kitchen Table,Penne Pasta
The Kitchen Table,Hash Brown Potato Patty
Rotisserie,Turkey Tacos
Plant Forward,Blueberry Chickpea Pancakes
Rotisserie,Confetti Rice
Specialty Bakery,Funfetti Cupcake
Rotisserie,Penne Pasta
Rotisserie,Roasted Butternut Squash
The Kitchen Table,Lima Beans
Plant Forward,Lima Beans
Homemade Soups,Creamy Chicken Soup
Rotisserie,Marinated Flank Steak
Fresh,Spinach Artichoke Panini
The Kitchen Table,Freshly Roasted Squash and Zucchini
The Grill,Udi's Hamburger Bun
Nacho Bar,Ground Turkey Taco on Corn Tortilla
Simply Prepared Grill,Simply Roasted Green Chili Corn
The Kitchen Table,Turkey Sausage Links
Specialty Bakery,Almond and Ricotta Cake
Bakery,Cinnamon Rolls
The Kitchen Table,Smoked Honey BBQ Chicken
The Kitchen Table,Steamed Cauliflower
International Flavors,Pesto Alfredo Chicken & Tortellini
The Kitchen Table,Grilled Montreal Chicken
Rotisserie,Crispy Chicken Nuggets
Plant Forward,Shredded Carrots
Plant Forward,Jalapeno Peppers
Plant Forward,Lime Wedges
Plant Forward,Lemongrass Shrimp
Plant Forward,Pickled English Cucumber
Plant Forward,Sriracha Mayonnaise
Plant Forward,Cilantro Onion
Plant Forward,Pickled Red Cabbage
Plant Forward,Griddled Flour Tortilla
Bakery,Blueberry Lemon Muffin
International Flavors,Cheese Stuffed Shells
Bakery,White Chocolate Pecan Scones
The Kitchen Table,Roasted Salmon
Bakery,Chocolate Chip Cake
Chef's Corner,Marinara Sauce
Chef's Corner,Diced Yellow Onions
Chef's Corner,Mushrooms
Chef's Corner,No-Nut Pesto Sauce
Rotisserie,Roasted Salmon
International Flavors,Penne Alfredo
Plant Forward,Steamed California Blend Vegetables
Rotisserie,Toasted Kale Orzo
Rotisserie,Crispy Chicken Tenders
Rotisserie,Steamed California Blend Vegetables
Nacho Bar,Soft Pretzel Sticks with Honey Mustard
The Griddle,Chili Cheddar Dog
Nacho Bar,Berry Sauce
International Flavors,Sauteed Shrimp with Thai Chili Sauce
Specialty Bakery,Cheerwine Float
Nacho Bar,Vegetable Egg Roll
Plant Forward,Soy Nugget Banh Mi
Plant Forward,Steamed Baby Carrots
Bakery,Orange Poppy Loaf
Rotisserie,Fresh California Blend Vegetables
Plant Forward,Signature Chips
Plant Forward,Garlic Bread Stick
Nacho Bar,Shredded Cheddar Cheese
International Flavors,Caramel Topping
International Flavors,Manicotti
International Flavors,Melted Chocolate
International Flavors,Graham Cracker Crumbs
Rotisserie,Sauteed Broccolini
International Flavors,Rainbow Sprinkles
Specialty Bakery,NY Cheesecake with Blueberry Topping
International Flavors,Chocolate Sprinkles
International Flavors,Oreo Crumbles
International Flavors,M&Ms
International Flavors,Apple
The Kitchen Table,Chasu Pulled Pork
Nacho Bar,Chasu Pulled Pork
Plant Forward,Cauliflower Ceviche
Specialty Bakery,Panetela Cake
Wood Fired Pizza,Beef Empanada Pizza
The Kitchen Table,Spicy Southern Greens
Specialty Bakery,Cupcakes with Fudge Icing
Burritos & Bowls,Braised Lamb
Plant Forward,Sofrito Black Beans
Specialty Bakery,Chocoflan
Rotisserie,Roasted Sweet Potatoes
Specialty Bakery,Chocolate Sauce
